stock,decile,rv_lo,rv_hi,model,n_days,mse,rel_mse_to_HAR
AAPL,1,3.817098555350006e-05,6.205364048853825e-05,HAR-X,45,2.0057534445294153e-09,0.40860677664161543
AAPL,1,3.817098555350006e-05,6.205364048853825e-05,LogHAR,45,2.1720140283164734e-09,0.4424769421941526
AAPL,1,3.817098555350006e-05,6.205364048853825e-05,ElasticNet,45,4.774142937131707e-09,0.9725757480752578
AAPL,1,3.817098555350006e-05,6.205364048853825e-05,RF,45,2.3290939742166706e-09,0.4744768525242967
AAPL,1,3.817098555350006e-05,6.205364048853825e-05,NN_2_e10,45,4.960666114453868e-09,1.0105737554885976
AAPL,2,6.20875113694895e-05,7.302897506017935e-05,HAR-X,44,4.2722502858932475e-09,1.0197795787606716
AAPL,2,6.20875113694895e-05,7.302897506017935e-05,LogHAR,44,2.8097075942360424e-09,0.6706728855169624
AAPL,2,6.20875113694895e-05,7.302897506017935e-05,ElasticNet,44,4.611102143739485e-09,1.1006629965692467
AAPL,2,6.20875113694895e-05,7.302897506017935e-05,RF,44,3.3202576906984268e-09,0.7925404090620565
AAPL,2,6.20875113694895e-05,7.302897506017935e-05,NN_2_e10,44,5.426923522117611e-09,1.2953983060461933
AAPL,3,7.303178989622586e-05,8.246114902142516e-05,HAR-X,44,3.617174505724361e-09,1.0065247297031135
AAPL,3,7.303178989622586e-05,8.246114902142516e-05,LogHAR,44,2.3276064060466846e-09,0.647686033669038
AAPL,3,7.303178989622586e-05,8.246114902142516e-05,ElasticNet,44,3.9454080630246214e-09,1.0978598842604346
AAPL,3,7.303178989622586e-05,8.246114902142516e-05,RF,44,2.850093182875124e-09,0.7930746127902386
AAPL,3,7.303178989622586e-05,8.246114902142516e-05,NN_2_e10,44,4.28162651850658e-09,1.1914169381127222
AAPL,4,8.253384254471164e-05,9.02597849366304e-05,HAR-X,44,3.929597788516044e-09,0.9463420064788342
AAPL,4,8.253384254471164e-05,9.02597849366304e-05,LogHAR,44,2.562763814809473e-09,0.6171753907551971
AAPL,4,8.253384254471164e-05,9.02597849366304e-05,ElasticNet,44,4.105733769507884e-09,0.9887598025576236
AAPL,4,8.253384254471164e-05,9.02597849366304e-05,RF,44,3.5970369862132683e-09,0.8662533373923555
AAPL,4,8.253384254471164e-05,9.02597849366304e-05,NN_2_e10,44,4.525782658831737e-09,1.0899177149281043
AAPL,5,9.026960487033138e-05,9.81680162672377e-05,HAR-X,44,4.982579366476052e-09,0.9475815484281204
AAPL,5,9.026960487033138e-05,9.81680162672377e-05,LogHAR,44,2.9949460623225707e-09,0.5695755989937152
AAPL,5,9.026960487033138e-05,9.81680162672377e-05,ElasticNet,44,5.073798919010321e-09,0.9649295841501236
AAPL,5,9.026960487033138e-05,9.81680162672377e-05,RF,44,3.840243000921389e-09,0.7303332554293054
AAPL,5,9.026960487033138e-05,9.81680162672377e-05,NN_2_e10,44,4.460861622795034e-09,0.8483618328876272
AAPL,6,9.872365916044772e-05,0.0001121669562802,HAR-X,44,2.9135991156379025e-09,1.5964688997642418
AAPL,6,9.872365916044772e-05,0.0001121669562802,LogHAR,44,1.5463168702987867e-09,0.8472843018667326
AAPL,6,9.872365916044772e-05,0.0001121669562802,ElasticNet,44,2.9431385858509915e-09,1.6126546698853257
AAPL,6,9.872365916044772e-05,0.0001121669562802,RF,44,2.622067269554496e-09,1.4367278004946138
AAPL,6,9.872365916044772e-05,0.0001121669562802,NN_2_e10,44,2.4907377047825297e-09,1.3647674664003628
AAPL,7,0.0001123302269013,0.0001371840955337,HAR-X,44,5.757672761750725e-09,1.1786505131665608
AAPL,7,0.0001123302269013,0.0001371840955337,LogHAR,44,2.7145834494418167e-09,0.5557011153834956
AAPL,7,0.0001123302269013,0.0001371840955337,ElasticNet,44,5.252543474446333e-09,1.0752457316979196
AAPL,7,0.0001123302269013,0.0001371840955337,RF,44,4.778465912164528e-09,0.9781975344165069
AAPL,7,0.0001123302269013,0.0001371840955337,NN_2_e10,44,2.947662654912286e-09,0.6034146511303048
AAPL,8,0.0001379758756761,0.0001624504250912,HAR-X,44,6.928697552610454e-09,1.2388269485846752
AAPL,8,0.0001379758756761,0.0001624504250912,LogHAR,44,3.020131967759204e-09,0.5399890587708722
AAPL,8,0.0001379758756761,0.0001624504250912,ElasticNet,44,6.964443062528251e-09,1.245218121043976
AAPL,8,0.0001379758756761,0.0001624504250912,RF,44,8.42577345176334e-09,1.5064988961426231
AAPL,8,0.0001379758756761,0.0001624504250912,NN_2_e10,44,3.358389623729589e-09,0.6004683474971234
AAPL,9,0.0001629715498134,0.0002003988038119,HAR-X,44,1.0482732151745838e-08,1.6193395812432259
