stock,decile,rv_lo,rv_hi,model,n_days,mse,rel_mse_to_HAR
AAPL,1,6.151405202964922e-05,7.866628340022134e-05,HAR-X,43,7.1570013740907755e-09,0.6972993960578321
AAPL,1,6.151405202964922e-05,7.866628340022134e-05,LogHAR,43,4.986580482556786e-09,0.4858374865580287
AAPL,1,6.151405202964922e-05,7.866628340022134e-05,ElasticNet,43,9.66692905491912e-09,0.9418391082236387
AAPL,1,6.151405202964922e-05,7.866628340022134e-05,RF,43,1.0117159983759373e-08,0.9857046516764298
AAPL,1,6.151405202964922e-05,7.866628340022134e-05,NN_2_e10,43,9.48930427837088e-09,0.9245333061232821
AAPL,2,7.868973070061207e-05,8.472714980499843e-05,HAR-X,42,6.1048112369324945e-09,0.8971619403872948
AAPL,2,7.868973070061207e-05,8.472714980499843e-05,LogHAR,42,3.878772065685152e-09,0.5700236318066204
AAPL,2,7.868973070061207e-05,8.472714980499843e-05,ElasticNet,42,8.061728396525134e-09,1.184750127464395
AAPL,2,7.868973070061207e-05,8.472714980499843e-05,RF,42,6.715149178608271e-09,0.9868570924229813
AAPL,2,7.868973070061207e-05,8.472714980499843e-05,NN_2_e10,42,8.397673018046899e-09,1.2341204874656628
AAPL,3,8.504296429095528e-05,9.581275957978608e-05,HAR-X,42,6.91473186605885e-09,0.8904698968522271
AAPL,3,8.504296429095528e-05,9.581275957978608e-05,LogHAR,42,5.23793562867559e-09,0.6745343260350888
AAPL,3,8.504296429095528e-05,9.581275957978608e-05,ElasticNet,42,8.874520225469211e-09,1.1428488136432557
AAPL,3,8.504296429095528e-05,9.581275957978608e-05,RF,42,6.825379515617005e-09,0.8789632209864566
AAPL,3,8.504296429095528e-05,9.581275957978608e-05,NN_2_e10,42,9.64294074385539e-09,1.2418049775265094
AAPL,4,9.582428023106956e-05,0.0001042155950693,HAR-X,43,4.922544377780281e-09,0.9964550524985801
AAPL,4,9.582428023106956e-05,0.0001042155950693,LogHAR,43,2.200385060027752e-09,0.44541697184165263
AAPL,4,9.582428023106956e-05,0.0001042155950693,ElasticNet,43,6.1991496340267035e-09,1.2548742073110777
AAPL,4,9.582428023106956e-05,0.0001042155950693,RF,43,3.236139676411941e-08,6.550814951933242
AAPL,4,9.582428023106956e-05,0.0001042155950693,NN_2_e10,43,7.114181624540213e-09,1.440101232233537
AAPL,5,0.0001044331682666,0.0001112278033532,HAR-X,42,5.57027587025371e-09,1.2280208062205853
AAPL,5,0.0001044331682666,0.0001112278033532,LogHAR,42,2.619525665955959e-09,0.577499588018831
AAPL,5,0.0001044331682666,0.0001112278033532,ElasticNet,42,6.468465685611055e-09,1.4260353762142268
AAPL,5,0.0001044331682666,0.0001112278033532,RF,42,6.7837523360296236e-09,1.4955433459550438
AAPL,5,0.0001044331682666,0.0001112278033532,NN_2_e10,42,7.203314343711567e-09,1.5880398195470493
AAPL,6,0.0001113303103971,0.0001147818551555,HAR-X,42,2.6552474404136772e-09,0.9080191504043773
AAPL,6,0.0001113303103971,0.0001147818551555,LogHAR,42,9.132527550812916e-10,0.31230648343800954
AAPL,6,0.0001113303103971,0.0001147818551555,ElasticNet,42,4.84258053241873e-09,1.6560248939084081
AAPL,6,0.0001113303103971,0.0001147818551555,RF,42,1.0585436071235025e-09,0.3619918250091675
AAPL,6,0.0001113303103971,0.0001147818551555,NN_2_e10,42,3.6900848760606516e-09,1.2619041386058596
AAPL,7,0.0001148464560782,0.0001242064105613,HAR-X,43,3.4065649779143548e-09,1.1582288469737159
AAPL,7,0.0001148464560782,0.0001242064105613,LogHAR,43,1.4151812594300363e-09,0.48116027992866633
AAPL,7,0.0001148464560782,0.0001242064105613,ElasticNet,43,4.4894428307125166e-09,1.5264062852410685
AAPL,7,0.0001148464560782,0.0001242064105613,RF,43,1.1867340138843936e-09,0.40348843409038526
AAPL,7,0.0001148464560782,0.0001242064105613,NN_2_e10,43,3.4509111101187114e-09,1.1733064896735603
AAPL,8,0.0001242343521811,0.0001430793847209,HAR-X,42,2.1648209174656137e-09,1.1043223454325197
AAPL,8,0.0001242343521811,0.0001430793847209,LogHAR,42,1.0453871321003167e-09,0.5332747666525328
AAPL,8,0.0001242343521811,0.0001430793847209,ElasticNet,42,2.7073737145875306e-09,1.381090355481169
AAPL,8,0.0001242343521811,0.0001430793847209,RF,42,1.471807643152992e-09,0.7508011657680402
AAPL,8,0.0001242343521811,0.0001430793847209,NN_2_e10,42,2.719614782547074e-09,1.3873347911158302
AAPL,9,0.0001433996585016,0.0001952502686844,HAR-X,42,1.815191885147094e-08,0.9647481446348145
AAPL,9,0.0001433996585016,0.0001952502686844,LogHAR,42,1.091416059244578e-08,0.5800717967045795
AAPL,9,0.0001433996585016,0.0001952502686844,ElasticNet,42,1.5500317660883188e-08,0.8238193893961527
AAPL,9,0.0001433996585016,0.0001952502686844,RF,42,2.1560195786241964e-08,1.1458931175782963
AAPL,9,0.0001433996585016,0.0001952502686844,NN_2_e10,42,9.024339649031856e-09,0.4796305560969588
AAPL,10,0.000196027639753,0.0004025962715543,HAR-X,43,2.211892896311962e-08,1.5052597477937417
AAPL,10,0.000196027639753,0.0004025962715543,LogHAR,43,2.0406847210627983e-08,1.3887474270003233
AAPL,10,0.000196027639753,0.0004025962715543,ElasticNet,43,1.5972567788161376e-08,1.086981354319394
AAPL,10,0.000196027639753,0.0004025962715543,RF,43,1.4276844978169206e-08,0.9715823088433283
AAPL,10,0.000196027639753,0.0004025962715543,NN_2_e10,43,1.379984894852706e-08,0.9391212921062645
JPM,1,5.52314564511572e-05,6.900241887949076e-05,HAR-X,43,4.65701151886329e-09,0.5989276358929654
JPM,1,5.52314564511572e-05,6.900241887949076e-05,LogHAR,43,2.9536132686067114e-09,0.37985746978364776
JPM,1,5.52314564511572e-05,6.900241887949076e-05,ElasticNet,43,4.812783969726041e-09,0.6189611757187918
JPM,1,5.52314564511572e-05,6.900241887949076e-05,RF,43,6.569241039981569e-08,8.448551157218443
JPM,1,5.52314564511572e-05,6.900241887949076e-05,NN_2_e10,43,1.2822844907207114e-08,1.6491168541430352
JPM,2,6.93671542243262e-05,7.54082269577005e-05,HAR-X,42,4.116187305865196e-09,0.6210671259983246
JPM,2,6.93671542243262e-05,7.54082269577005e-05,LogHAR,42,1.8386592741432354e-09,0.27742440910187843
JPM,2,6.93671542243262e-05,7.54082269577005e-05,ElasticNet,42,4.351635125179681e-09,0.6565924531028169
JPM,2,6.93671542243262e-05,7.54082269577005e-05,RF,42,2.8972824408703278e-08,4.371537894285697
JPM,2,6.93671542243262e-05,7.54082269577005e-05,NN_2_e10,42,1.031364475842825e-08,1.5561647788859139
JPM,3,7.546436671641847e-05,8.314750665525231e-05,HAR-X,42,6.5329941577997195e-09,1.2519262269032632
JPM,3,7.546436671641847e-05,8.314750665525231e-05,LogHAR,42,2.5176839698720964e-09,0.48246707662729116
JPM,3,7.546436671641847e-05,8.314750665525231e-05,ElasticNet,42,7.0586889562501575e-09,1.3526658096474156
JPM,3,7.546436671641847e-05,8.314750665525231e-05,RF,42,2.7312730651478455e-08,5.2339743469856
JPM,3,7.546436671641847e-05,8.314750665525231e-05,NN_2_e10,42,1.0185040485655396e-08,1.9517726478968698
JPM,4,8.323816600563767e-05,9.101501731390444e-05,HAR-X,42,5.790307084461152e-09,1.0706393060875043
JPM,4,8.323816600563767e-05,9.101501731390444e-05,LogHAR,42,2.190880049032161e-09,0.4050980822263309
JPM,4,8.323816600563767e-05,9.101501731390444e-05,ElasticNet,42,8.75990243966975e-09,1.6197233985345776
JPM,4,8.323816600563767e-05,9.101501731390444e-05,RF,42,1.9609757440067385e-08,3.6258831858020226
JPM,4,8.323816600563767e-05,9.101501731390444e-05,NN_2_e10,42,9.211230716873018e-09,1.7031748954023889
JPM,5,9.112841312813252e-05,0.0001018764996853,HAR-X,43,4.293622387808583e-09,1.0560326073345299
JPM,5,9.112841312813252e-05,0.0001018764996853,LogHAR,43,1.02767469732077e-09,0.25276046472668035
JPM,5,9.112841312813252e-05,0.0001018764996853,ElasticNet,43,7.592336386606458e-09,1.8673637469551703
JPM,5,9.112841312813252e-05,0.0001018764996853,RF,43,2.882699988797364e-09,0.7090109260601837
JPM,5,9.112841312813252e-05,0.0001018764996853,NN_2_e10,43,6.166383635515035e-09,1.516645293942936
JPM,6,0.0001020076239025,0.0001140893270389,HAR-X,42,1.4246884266200475e-08,2.7723230716074525
JPM,6,0.0001020076239025,0.0001140893270389,LogHAR,42,5.0327222082134595e-09,0.979325137351056
JPM,6,0.0001020076239025,0.0001140893270389,ElasticNet,42,7.222053208239707e-09,1.405350416236604
JPM,6,0.0001020076239025,0.0001140893270389,RF,42,7.715164151147372e-09,1.5013056313097177
JPM,6,0.0001020076239025,0.0001140893270389,NN_2_e10,42,7.047094675245821e-09,1.3713049668224984
