date,RV,RQ
2016-01-04,0.00044386683812016795,2.8441396198929167e-07
2016-01-05,0.0004032145203320727,2.2376365775503743e-07
2016-01-06,0.0004732190068983533,2.8431649866625647e-07
2016-01-07,0.0007150049084058077,4.5139819081396354e-07
2016-01-08,0.0004080383031985016,2.1130829491444159e-07
2016-01-11,0.0004490025115877439,2.189141619333176e-07
2016-01-12,0.00023282575739549328,5.6358204054188224e-08
2016-01-13,0.0007149781521399695,4.335769102795647e-07
2016-01-14,0.0011825924351073452,2.8087287384230105e-06
2016-01-15,0.00063065658177889,5.420168881840974e-07
2016-01-19,0.00037073997906251685,1.2729632588353858e-07
2016-01-20,0.0012012747107302268,1.4312185257881133e-06
2016-01-21,0.0008049561508280668,1.0027988985751644e-06
2016-01-22,0.000138756320106673,1.6162824420242722e-08
2016-01-25,0.0004042095231461306,5.35458239329582e-07
2016-01-26,0.0004098647255998057,2.0565451591940443e-07
2016-01-27,0.0006567960415216511,1.0811484155609036e-06
2016-01-28,0.0007583384666905707,6.735491202956183e-07
2016-01-29,0.0007775484047782265,1.358530342454865e-06
2016-02-01,0.0002637204524100615,1.3927855003265068e-07
2016-02-02,0.0006616855361300387,2.5682679742956676e-06
2016-02-03,0.001189017418625574,1.7188161502490894e-06
2016-02-04,0.0008357974831508154,1.077969720415662e-06
2016-02-05,0.0006974297104782749,4.821485369833517e-07
2016-02-08,0.001616924937907989,4.239920923520986e-06
2016-02-09,0.001709688404736094,5.58246803328316e-06
2016-02-10,0.000871422029137038,8.978704570737771e-07
2016-02-11,0.000991307143217004,1.336584585112075e-06
2016-02-12,0.000382541970004134,2.0722613969473582e-07
2016-02-16,0.00033844141126524813,2.0344967683372138e-07
2016-02-17,0.000255434089456529,5.538301366484539e-08
2016-02-18,0.0003234977289265634,1.4287022242492405e-07
2016-02-19,0.0004000673249175401,7.316220291940782e-07
2016-02-22,0.00026862184521208747,1.6824891848577287e-07
2016-02-23,0.00019447546170352106,4.62501133442458e-08
2016-02-24,0.00046931218011284044,3.149277406252684e-07
2016-02-25,0.000368605443725577,1.28675245518005e-07
2016-02-26,0.0001842917675339846,3.828427793547189e-08
2016-02-29,0.00020764203141630328,4.2150644956095954e-08
2016-03-01,0.0002229556608966246,7.336276614894123e-08
2016-03-02,0.00023341679071836903,6.486962615401603e-08
2016-03-03,0.00010621512348343253,1.4534499781670793e-08
2016-03-04,0.00017869648985996026,7.582413233325996e-08
2016-03-07,0.0003365309041273063,1.9658964636889333e-07
2016-03-08,0.0003117100032327636,1.529416074122058e-07
2016-03-09,0.00015519115342436192,3.333752391686408e-08
2016-03-10,0.00037012081617177495,1.9099212647605e-07
2016-03-11,8.825795117216866e-05,1.7210381331368e-08
2016-03-14,9.581958367481701e-05,9.52647775149333e-09
2016-03-15,0.00015664539031374588,2.5472422351127433e-08
2016-03-16,0.0003007916528102631,1.7253440067317374e-07
2016-03-17,0.0002215310068986479,4.4684066585728795e-08
2016-03-18,0.000350054589300221,4.4778817687956565e-07
2016-03-21,0.00031250400360070325,1.3937024574779303e-07
2016-03-22,0.000216072072911792,7.634899939734252e-08
2016-03-23,0.0002025419491943881,5.328699012733258e-08
2016-03-24,0.00016014162557410788,4.0518553998585075e-08
2016-03-28,0.00014390680324892374,3.921686284668288e-08
2016-03-29,0.00016916283691855908,2.6793981704139878e-08
2016-03-30,0.000132667995726461,4.509378925552266e-08
2016-03-31,8.308246669413015e-05,7.1861651723955225e-09
2016-04-01,8.267405625472069e-05,1.264691682225966e-08
2016-04-04,0.00011483309475875036,2.5417655504689926e-08
2016-04-05,9.926615389267365e-05,8.91407837743397e-09
2016-04-06,0.00012098408138796652,1.8891533777443107e-08
2016-04-07,0.0001661344728611261,3.399277813612038e-08
2016-04-08,0.00012006112294786908,1.5797623965409275e-08
2016-04-11,0.00011672662002943745,2.0020060881404974e-08
2016-04-12,0.00013661434668881502,1.660037874174285e-08
2016-04-13,0.00020893401688143926,4.190175369508155e-08
2016-04-14,0.0001453561301123007,3.1481639918494984e-08
2016-04-15,4.290643226417825e-05,2.2198418337755043e-09
2016-04-18,0.00019352844111762048,1.4899297522256294e-07
2016-04-19,0.0002319383791682803,9.671799917755952e-08
2016-04-20,0.00017195372968998576,5.866601686710966e-08
2016-04-21,0.00011720367274333573,1.762486792736043e-08
2016-04-22,0.0001448021152544642,3.034929341386215e-08
2016-04-25,0.00011969172342530626,2.0013371760944675e-08
2016-04-26,0.00014413834751384312,4.779619401060443e-08
2016-04-27,0.00018467704313076101,3.4959281733037065e-08
2016-04-28,0.0004367627530763207,5.112152829104826e-07
2016-04-29,0.0004781896708801051,6.210898205208407e-07
2016-05-02,0.0002688225460520491,2.0453228882475548e-07
2016-05-03,0.00017295932601392802,7.84104489465861e-08
2016-05-04,0.00018564788409872502,4.189386469332385e-08
2016-05-05,0.00018949775658762228,5.3052300696532736e-08
2016-05-06,0.00012485912344936727,1.8002632811602304e-08
2016-05-09,0.0001409500329511255,2.4618262169963315e-08
2016-05-10,6.961525089771594e-05,5.452695006663981e-09
2016-05-11,0.00017376438524221717,2.918681498982593e-08
2016-05-12,0.00014806321751664603,2.7360134620706774e-08
2016-05-13,0.00012890431777788826,2.5061776134660687e-08
2016-05-16,0.00017355258281032455,6.178568620901464e-08
2016-05-17,0.0001862060620585715,5.897194293866034e-08
2016-05-18,0.0002742584538623592,1.1417525306198695e-07
2016-05-19,0.00013283854459081277,1.594057193095082e-08
2016-05-20,4.3064382410077725e-05,3.0093691291862176e-09
2016-05-23,7.571712430235364e-05,4.846483316199576e-09
2016-05-24,5.15325991542297e-05,3.4950927117251754e-09
2016-05-25,7.376533589612883e-05,5.467558615317504e-09
2016-05-26,4.5335621588404865e-05,4.241358109795272e-09
2016-05-27,4.205640875809702e-05,3.804849874090079e-09
2016-05-31,7.342050047418369e-05,5.149054928690628e-09
2016-06-01,7.257335706379681e-05,8.857567513539688e-09
2016-06-02,0.00011138847193830737,2.3461771966198057e-08
2016-06-03,6.593550344439171e-05,9.511974709777145e-09
2016-06-06,7.68611927155003e-05,9.233450880692859e-09
2016-06-07,6.174964144807481e-05,5.616381552110365e-09
2016-06-08,5.477776575077882e-05,4.534749194892956e-09
2016-06-09,4.705782074299891e-05,2.581025414895341e-09
2016-06-10,5.547256489329572e-05,2.3432969120703864e-09
2016-06-13,9.026267413369399e-05,1.1064190406354944e-08
2016-06-14,0.00010806490700504758,4.0949465596388636e-08
2016-06-15,8.327468534011077e-05,1.3847758589720845e-08
2016-06-16,9.576974955797562e-05,1.1593999326147875e-08
2016-06-17,0.0001585898589152795,5.6695892098701294e-08
2016-06-20,6.755410802606002e-05,5.057103435838733e-09
2016-06-21,6.017940966764146e-05,4.020712156679788e-09
2016-06-22,0.00010353278248707136,1.939760444962799e-08
2016-06-23,5.5744627005159016e-05,5.6068831016884205e-09
2016-06-24,0.000346063467526671,1.893543923456298e-07
2016-06-27,0.0002959256244856601,1.3717591398815026e-07
2016-06-28,8.460488170858511e-05,7.897410475576226e-09
2016-06-29,6.603879502669089e-05,8.996673302088684e-09
2016-06-30,5.039329200434622e-05,3.1273084369435822e-09
