date,RV,RQ
2016-01-04,0.0001372940491371281,2.5651574213182357e-08
2016-01-05,0.00011953252721230859,1.4493002553087944e-08
2016-01-06,0.00015498000680608034,3.513500160498734e-08
2016-01-07,0.00026889160187534546,7.310825699712787e-08
2016-01-08,0.0003800310852486015,3.4714189933587993e-07
2016-01-11,0.00021637390137574012,3.7684777660818936e-08
2016-01-12,0.00024399082052750453,5.192942978451312e-08
2016-01-13,0.00029660344539613923,1.4276418770324602e-07
2016-01-14,0.0007372330734055818,7.689927665765029e-07
2016-01-15,0.00037944489860041564,1.6367764120843357e-07
2016-01-19,0.000316088575292405,9.95530580575944e-08
2016-01-20,0.0004012000477055928,2.0023320606147272e-07
2016-01-21,0.00031291832974401153,7.38095913563218e-08
2016-01-22,0.00011738528286611308,2.3224949981601152e-08
2016-01-25,0.0002012681226655421,4.368132649479124e-08
2016-01-26,0.00019261830578901933,6.22109724632509e-08
2016-01-27,0.0004707634466297199,3.8520667443761475e-07
2016-01-28,0.0003583059773106829,1.4816924822241495e-07
2016-01-29,0.00016307376892678456,5.178560335834452e-08
2016-02-01,0.00015848940883925747,2.983384619712729e-08
2016-02-02,0.00016393930189967246,3.573600047435095e-08
2016-02-03,0.0006612453539121168,7.391832864361349e-07
2016-02-04,0.0004265091174284749,3.2747376577593073e-07
2016-02-05,0.00036375502852384426,2.3336572282760098e-07
2016-02-08,0.00042909932847625114,3.874256556071873e-07
2016-02-09,0.0004185391941574671,2.1402587921483384e-07
2016-02-10,0.00029943086389985877,1.0963926791432094e-07
2016-02-11,0.0005404008103784199,4.432253168448212e-07
2016-02-12,0.0003805945851868769,2.1689787517408847e-07
2016-02-16,0.0001091389205378199,1.2714781275895788e-08
2016-02-17,0.00014242552078471421,1.9922252876071472e-08
2016-02-18,0.0002521239172703068,4.976174482039208e-07
2016-02-19,0.00019607127153391878,7.22654436081686e-08
2016-02-22,5.8452934535007826e-05,3.0567041148418495e-09
2016-02-23,0.0002353841604634851,9.378886567927129e-08
2016-02-24,0.0003146253926263578,1.1992054949680305e-07
2016-02-25,0.0001663143991454525,3.058457842653881e-08
2016-02-26,0.00018743583615024606,3.732508476831922e-08
2016-02-29,0.00014818884917412335,2.529264593346964e-08
2016-03-01,0.0002509548784600264,1.0100387551322725e-07
2016-03-02,0.00027543578915199596,1.2549213783736755e-07
2016-03-03,0.00010504052282421671,1.0662987770280175e-08
2016-03-04,0.00023582181500163445,7.678422822298062e-08
2016-03-07,0.00011669010364736415,1.3074534803281803e-08
2016-03-08,0.00020122941392172053,3.5178236761094673e-08
2016-03-09,0.00015882185195481774,5.191065115253693e-08
2016-03-10,0.0002389420820794263,5.344386745766871e-08
2016-03-11,8.913459001610306e-05,9.958945356117328e-09
2016-03-14,9.45919736263644e-05,1.0026142806096233e-08
2016-03-15,7.199491399976701e-05,7.701812787211298e-09
2016-03-16,0.0002552232085427198,1.0489601227645221e-07
2016-03-17,0.0001360029028454152,5.476060988609321e-08
2016-03-18,0.00018033088268618023,1.1960270035590333e-07
2016-03-21,0.00011554077849215324,2.8311526920529242e-08
2016-03-22,9.386534043355702e-05,1.8556766477492732e-08
2016-03-23,8.186345536511123e-05,7.955604610880284e-09
2016-03-24,7.648529666946208e-05,7.385519220157779e-09
2016-03-28,6.042336163099807e-05,5.862827845837775e-09
2016-03-29,6.544671049889566e-05,5.541979642579752e-09
2016-03-30,8.848533492234008e-05,1.1633952767147202e-08
