date,M1W,d_log_dvol,EA
2016-01-04,,,0
2016-01-05,,-0.4485601769452785,0
2016-01-06,,-0.10542715626068144,0
2016-01-07,,0.26316046552264183,0
2016-01-08,,-0.26891308533765823,0
2016-01-11,,-0.07245915626017663,0
2016-01-12,-0.030290854045691873,-0.07531654294362156,0
2016-01-13,-0.025568666772339377,0.44930407567423813,0
2016-01-14,-0.08369977137843287,-0.0009381613438499414,0
2016-01-15,-0.02465148148496743,-0.04560154855525056,0
2016-01-19,-0.06322186525282447,-0.4656802879447106,0
2016-01-20,-0.07269949668241926,0.5415628404656694,0
2016-01-21,-0.07772533442876872,-0.5447381735726644,0
2016-01-22,-0.012100406934087538,0.15933839196895505,0
2016-01-25,0.005381782246245415,-0.2315068384728427,0
2016-01-26,0.04561051125205218,-0.12047465777416733,0
2016-01-27,0.04546237407675768,0.25572605145244154,0
2016-01-28,0.02077637059291826,0.853480406185632,1
2016-01-29,0.1001993938652106,0.22339806853741706,0
2016-02-01,-0.017887990400858644,-0.78957698491093,0
2016-02-02,-0.03687683128329766,-0.09034720157969645,0
2016-02-03,-0.08585073705664881,0.48740534753582665,0
2016-02-04,-0.09483051419057809,-0.4987001812001566,0
2016-02-05,-0.17006220886070222,0.41425526585545924,0
2016-02-08,-0.1540880711513828,-0.0036447849858411985,0
2016-02-09,-0.16323529856080077,-0.35159677076859097,0
2016-02-10,-0.13513280677157047,-0.1374082235693841,0
2016-02-11,-0.07916391783605103,0.19012973513689602,0
2016-02-12,-0.06272492363166648,-0.29625647214628614,0
2016-02-16,0.009910883899453715,-0.05929250038363065,0
2016-02-17,0.06499910301414058,-0.023939938090652646,0
2016-02-18,0.10282618662526,-0.03807984725609259,0
2016-02-19,0.06817687796962213,0.03766430883597849,0
2016-02-22,0.06011054305759567,0.15063120697671195,0
2016-02-23,0.09835377717667626,-0.2939522874860643,0
2016-02-24,0.05886242720277002,0.47579578465012773,0
2016-02-25,0.03646658563103777,-0.29437511293755847,0
2016-02-26,0.055930146600970954,0.06366488121631875,0
2016-02-29,0.03743556396480674,-0.35065232716019423,0
2016-03-01,-0.011868508314399229,0.3743197484377667,0
2016-03-02,0.04630620511953509,-0.09450404766423404,0
2016-03-03,0.04613598538040575,-0.5534885331118886,0
2016-03-04,0.03934540056901925,0.2124160927272598,0
2016-03-07,0.03538939721424228,0.38268118061919765,0
2016-03-08,0.017928052786774007,-0.046390325421338474,0
2016-03-09,-0.03300861474698724,-0.06893611519811671,0
2016-03-10,-0.0365080909194444,-0.1386167873497719,0
2016-03-11,-0.03252433660651466,-0.02335160947076176,0
2016-03-14,-0.009783446309071131,-0.0682197265849318,0
2016-03-15,0.01862434793557055,0.13527232636156228,0
2016-03-16,0.02958306512643727,-0.0888987200839253,0
2016-03-17,0.026356774685648343,0.5009025363658317,0
2016-03-18,0.0007153076127601743,0.0951117821952856,0
2016-03-21,-0.03102406060171159,-0.21072011852430705,0
2016-03-22,-0.03438398642852114,-0.3093577365002034,0
2016-03-23,-0.028869289221757466,0.05625779520189411,0
2016-03-24,-0.00828719535574196,0.2253828144750578,0
2016-03-28,0.04132240558263289,-0.4580528122176837,0
2016-03-29,0.04877291699150099,0.3192046954627372,0
2016-03-30,0.06957994341049734,-0.07459509240757001,0
2016-03-31,0.06592001381478552,-0.4827209526671439,0
2016-04-01,0.04127133175540498,0.11403181511471772,0
2016-04-04,0.026072240309775285,-0.12558054849239753,0
2016-04-05,0.02284839377622161,-0.16519232532585093,0
2016-04-06,-0.013083601880989004,0.3279187184091512,0
2016-04-07,0.0057948009093693464,0.05450751164048029,0
2016-04-08,-0.0037130844347941228,-0.15172910442910137,0
2016-04-11,-0.006370516096270151,-0.020564688319641533,0
2016-04-12,0.004709056801572853,-0.004045330822957993,0
2016-04-13,0.028919298448168984,0.497774257523556,0
2016-04-14,0.021224964736591634,-0.28723579045963277,0
2016-04-15,0.04843581696989929,-0.08690679705239646,0
2016-04-18,0.05146146053610101,0.4236196773402696,0
2016-04-19,0.06401405477006605,-0.01664034996350594,0
2016-04-20,0.039641317682892474,-0.5183781525624376,0
2016-04-21,0.028523003952741988,0.0006594267105839435,0
2016-04-22,0.01637743815293735,0.6850177014105299,0
2016-04-25,-0.008663619085818475,-0.7133003112441507,0
2016-04-26,-0.014584912943110595,-0.03367356082371842,0
2016-04-27,-0.017676822158733785,0.4621414553224099,0
2016-04-28,-0.042600826889695576,0.3625962310895332,1
2016-04-29,-0.04505704584746706,0.6796724950424995,0
2016-05-02,0.06094683867116357,-0.3826306443986667,0
2016-05-03,0.08828810873024562,-0.2965669807337541,0
2016-05-04,0.08482026229681505,-0.0668510378131657,0
2016-05-05,0.10089954171720095,0.03153641306734656,0
2016-05-06,0.08847471780876104,-0.11012612491291662,0
2016-05-09,0.021596520226863536,-0.048349167927423053,0
2016-05-10,-0.0061592803605350355,0.4574722380097711,0
2016-05-11,0.04599180726473007,0.23005498164080862,0
2016-05-12,0.06127313595310957,-0.42790625646870595,0
2016-05-13,0.08574603454571683,-0.07390091812501609,0
2016-05-16,0.051922176718292246,0.17985570431863707,0
2016-05-17,0.044395478448569836,-0.12538360015469152,0
2016-05-18,-0.011445046245872614,-0.2184331994808666,0
2016-05-19,-0.022683138683240678,-0.2563647683830155,0
2016-05-20,-0.027391236675492703,-0.1242699602364219,0
2016-05-23,-0.010079931317657387,-0.08563783552946802,0
2016-05-24,-0.019695690172292224,0.0954551817998599,0
2016-05-25,0.013150561156160201,0.09928282886241746,0
2016-05-26,0.015649771667127776,-0.2307889998040089,0
2016-05-27,0.023204210321276175,-0.06933293805020213,0
2016-05-31,0.013286414530735424,0.4041560594038529,0
2016-06-01,0.0366202979982968,-0.03578436706094479,0
2016-06-02,0.02135512454057098,-0.03822532531494005,0
2016-06-03,0.027566829832654793,0.0508626223791282,0
2016-06-06,0.014633662500465938,-0.25781621448757264,0
2016-06-07,0.020292565678338814,0.02480034063287917,0
2016-06-08,0.0013963875930520508,-0.20348673790300964,0
2016-06-09,0.009958588525578183,-0.004717670971412957,0
2016-06-10,-0.0008242890973657602,0.4718954815216385,0
2016-06-13,-0.010418781380993725,-0.17694610054909887,0
2016-06-14,-0.01608911266271207,-0.18279388765219906,0
2016-06-15,-0.006097579868118874,-0.027493108659065513,0
2016-06-16,-0.017213084626753528,0.2363644398100604,0
