,HAR,LogHAR,HARQ,Lasso,ElasticNet,RF,GB,NN_2_e10
HAR,0.0,-2.8112209889037856,-2.9057171283998673,-3.589811142088769,-4.353721156209055,-4.063720800441494,-3.849213006229338,-1.9075669527109809
LogHAR,2.8112209889037856,0.0,2.247927849690895,0.29904990764363165,0.7457683079363631,-4.108064825711541,-3.835895735535233,0.6042410783953043
HARQ,2.9057171283998673,-2.247927849690895,0.0,-1.726038925281916,-1.7612969824270506,-4.039746876455013,-3.7750188629051107,-1.1131263463452368
Lasso,3.589811142088769,-0.29904990764363165,1.726038925281916,0.0,1.3901767341446571,-3.424073460237993,-3.0817850700972125,0.17109348475670869
ElasticNet,4.353721156209055,-0.7457683079363631,1.7612969824270506,-1.3901767341446571,0.0,-3.638247983252212,-3.364298282007116,-0.11894274016772641
RF,4.063720800441494,4.108064825711541,4.039746876455013,3.424073460237993,3.638247983252212,0.0,1.2804104636495373,4.13392121986669
GB,3.849213006229338,3.835895735535233,3.7750188629051107,3.0817850700972125,3.364298282007116,-1.2804104636495373,0.0,3.4353314560057195
NN_2_e10,1.9075669527109809,-0.6042410783953043,1.1131263463452368,-0.17109348475670869,0.11894274016772641,-4.13392121986669,-3.4353314560057195,0.0
