,HAR,HAR-X,LogHAR,HARQ,Lasso,ElasticNet,RF,GB,NN_2_e10
HAR,0.0,-0.9149561838977394,-0.9270645436329323,-1.2865036036793644,-1.4458196269744368,-1.4828670499133128,-2.4603937908686127,-2.6502665738539717,-0.019484394861360724
HAR-X,0.9149561838977394,0.0,0.04723452526042488,-1.9272128446233443,0.13049699772893386,-0.10853122352342717,-2.1455301664156803,-2.4020703591611663,1.1992755972275286
LogHAR,0.9270645436329323,-0.04723452526042488,0.0,-0.6951302799277647,0.059178970661763204,-0.13038221464338454,-2.467741782682824,-2.6291539261732626,1.193774622560854
HARQ,1.2865036036793644,1.9272128446233443,0.6951302799277647,0.0,0.7528284118386475,0.60974074785977,-2.117235492080619,-2.379525547973751,1.7460139898450344
Lasso,1.4458196269744368,-0.13049699772893386,-0.059178970661763204,-0.7528284118386475,0.0,-1.1744112707743437,-2.214659027674491,-2.447167593128725,0.8163844125439437
ElasticNet,1.4828670499133128,0.10853122352342717,0.13038221464338454,-0.60974074785977,1.1744112707743437,0.0,-2.182172385789592,-2.42071655584907,1.0112271338900178
RF,2.4603937908686127,2.1455301664156803,2.467741782682824,2.117235492080619,2.214659027674491,2.182172385789592,0.0,-2.1546426772195497,2.5118742896918684
GB,2.6502665738539717,2.4020703591611663,2.6291539261732626,2.379525547973751,2.447167593128725,2.42071655584907,2.1546426772195497,0.0,2.7127425013651894
NN_2_e10,0.019484394861360724,-1.1992755972275286,-1.193774622560854,-1.7460139898450344,-0.8163844125439437,-1.0112271338900178,-2.5118742896918684,-2.7127425013651894,0.0
