,HAR,LogHAR,HARQ,Lasso,ElasticNet,RF,GB,NN_2_e10
HAR,1.0,0.938871539848667,0.9801319756497466,0.9990905750997493,0.9999421595796286,0.9999957626798794,0.9999036947656281,0.9209209243146406
LogHAR,0.061128460151333,1.0,0.2960788097483844,0.4640002923318993,0.3763570160325709,0.9999947582101928,0.9998340517444945,0.8398855910137598
HARQ,0.019868024350253366,0.7039211902516156,1.0,0.7383117244512003,0.6515705267984673,0.9999954828260277,0.9998936124775432,0.8586642384945484
Lasso,0.0009094249002506993,0.5359997076681007,0.2616882755487997,1.0,0.24147750817080904,0.999986695013178,0.9995933130906379,0.7923523799187214
ElasticNet,5.784042037138004e-05,0.6236429839674291,0.3484294732015327,0.758522491829191,1.0,0.9999926257925101,0.9997980130643459,0.8140237555421068
RF,4.237320120559218e-06,5.2417898072087965e-06,4.517173972318211e-06,1.330498682194925e-05,7.3742074898630605e-06,1.0,0.00021824240064249878,2.7044338068549223e-05
GB,9.6305234371874e-05,0.0001659482555055325,0.00010638752245684113,0.0004066869093620751,0.0002019869356540971,0.9997817575993575,1.0,0.0017675175120382969
NN_2_e10,0.07907907568535943,0.1601144089862402,0.14133576150545157,0.20764762008127857,0.18597624445789318,0.9999729556619315,0.9982324824879617,1.0
