,HAR,HAR-X,LogHAR,HARQ,Lasso,ElasticNet,RF,GB,NN_2_e10
HAR,0.0,-1.361449643132786,2.5353586644297317,-1.779186326343291,-1.4285753839876212,-1.529898812769418,2.120073316337311,2.369228551232128,0.9742663034720753
HAR-X,1.361449643132786,0.0,3.673617313512724,-2.2846001561063027,0.9851088683647032,-1.6871779101061126,3.3405035505543843,3.289497922904603,2.16773244239283
LogHAR,-2.5353586644297317,-3.673617313512724,0.0,-3.670121308061136,-3.6479828347903887,-3.797097490351154,-2.921851803947529,-1.1812394447527177,-4.817037362625474
HARQ,1.779186326343291,2.2846001561063027,3.670121308061136,0.0,2.027862378744067,0.24089605807433928,3.3830345826571393,3.3551164990853186,2.288484202919272
Lasso,1.4285753839876212,-0.9851088683647032,3.6479828347903887,-2.027862378744067,0.0,-1.4939553289350531,3.273975625341971,3.3412612640666457,1.925310413114757
ElasticNet,1.529898812769418,1.6871779101061126,3.797097490351154,-0.24089605807433928,1.4939553289350531,0.0,3.472628146984048,3.403048234258958,2.3350447558809235
RF,-2.120073316337311,-3.3405035505543843,2.921851803947529,-3.3830345826571393,-3.273975625341971,-3.472628146984048,0.0,1.1497114499570253,-2.407921590063415
GB,-2.369228551232128,-3.289497922904603,1.1812394447527177,-3.3551164990853186,-3.3412612640666457,-3.403048234258958,-1.1497114499570253,0.0,-3.62832912724292
NN_2_e10,-0.9742663034720753,-2.16773244239283,4.817037362625474,-2.288484202919272,-1.925310413114757,-2.3350447558809235,2.407921590063415,3.62832912724292,0.0
