,HAR,LogHAR,HARQ,Lasso,ElasticNet,RF,GB,NN_2_e10
HAR,1.0,0.734627522404332,0.45993668383198894,0.9776310261612474,0.9340824496250577,0.9619636186729137,0.9319520763896785,0.5751385664102993
LogHAR,0.26537247759566795,1.0,0.28222826352918085,0.41656430150919244,0.3781641399700626,0.94219021516517,0.8908178246003293,0.45177280606353487
HARQ,0.5400633161680111,0.7177717364708192,1.0,0.8778017428303196,0.8636716085484291,0.964179731552423,0.933161298174135,0.5851093039874883
Lasso,0.02236897383875258,0.5834356984908076,0.12219825716968036,1.0,0.2586696985441542,0.9555603420479759,0.9177096621558518,0.49444751289313427
ElasticNet,0.06591755037494229,0.6218358600299374,0.13632839145157094,0.7413303014558458,1.0,0.9595547823386599,0.925772177449542,0.5219075610656627
RF,0.03803638132708631,0.057809784834830014,0.03582026844757702,0.04443965795202409,0.04044521766134013,1.0,0.05758230282948085,0.0381075756637842
GB,0.06804792361032153,0.10918217539967068,0.06683870182586504,0.08229033784414819,0.07422782255045801,0.9424176971705192,1.0,0.0898319842843327
NN_2_e10,0.42486143358970074,0.5482271939364651,0.4148906960125117,0.5055524871068657,0.4780924389343373,0.9618924243362158,0.9101680157156673,1.0
