horizon,ticker,info_set,model,in_mcs,mcs_pvalue,mcs_reliability
22,AAPL,M_ALL,LogHAR,True,1.0,ok
22,AAPL,M_ALL,HARQ,False,0.0075,ok
22,AAPL,M_ALL,Lasso,False,0.002,ok
22,AAPL,M_ALL,ElasticNet,False,0.0075,ok
22,AAPL,M_ALL,RF,False,0.0726,ok
22,AAPL,M_ALL,GB,False,0.0971,ok
22,AAPL,M_ALL,NN_2_e10,False,0.0726,ok
22,JPM,M_HAR,HAR,False,0.0013,ok
22,JPM,M_HAR,LogHAR,True,1.0,ok
22,JPM,M_HAR,HARQ,False,0.0015,ok
22,JPM,M_HAR,Lasso,False,0.0,ok
22,JPM,M_HAR,ElasticNet,False,0.0,ok
22,JPM,M_HAR,RF,False,0.0051,ok
22,JPM,M_HAR,GB,False,0.0157,ok
22,JPM,M_HAR,NN_2_e10,False,0.0,ok
22,JPM,M_ALL,HAR,False,0.0031,corrupt
22,JPM,M_ALL,HAR-X,False,0.0031,corrupt
22,JPM,M_ALL,LogHAR,True,1.0,corrupt
22,JPM,M_ALL,HARQ,False,0.0031,corrupt
22,JPM,M_ALL,Lasso,False,0.0015,corrupt
22,JPM,M_ALL,ElasticNet,False,0.003,corrupt
22,JPM,M_ALL,RF,False,0.0852,corrupt
22,JPM,M_ALL,GB,True,0.1122,corrupt
22,JPM,M_ALL,NN_2_e10,False,0.0007,corrupt
22,AMZN,M_HAR,HAR,True,1.0,ok
22,AMZN,M_HAR,LogHAR,False,0.0057,ok
22,AMZN,M_HAR,HARQ,False,0.0047,ok
22,AMZN,M_HAR,Lasso,False,0.0026,ok
22,AMZN,M_HAR,ElasticNet,False,0.0002,ok
22,AMZN,M_HAR,RF,False,0.0002,ok
22,AMZN,M_HAR,GB,False,0.0004,ok
22,AMZN,M_HAR,NN_2_e10,False,0.0631,ok
22,AMZN,M_ALL,HAR,True,1.0,ok
22,AMZN,M_ALL,HAR-X,True,0.5503,ok
22,AMZN,M_ALL,LogHAR,True,0.5503,ok
22,AMZN,M_ALL,HARQ,True,0.1479,ok
22,AMZN,M_ALL,Lasso,True,0.5503,ok
22,AMZN,M_ALL,ElasticNet,True,0.5503,ok
22,AMZN,M_ALL,RF,False,0.043,ok
22,AMZN,M_ALL,GB,False,0.0218,ok
22,AMZN,M_ALL,NN_2_e10,True,0.9849,ok
