feature,vi_norm
RVD,0.2586818804946711
RVW,0.23237821879889117
RVM,0.06890055629815756
M1W,0.029215082752099383
d_log_dvol,0.016574127709335338
EA,0.0
VIX,0.31406650254526947
d_US3M,0.005194913482773607
HSI,0.008169821764854476
ADS,0.062112984030714635
EPU,0.0047059121232330935
