,HAR,HAR-X,LogHAR,HARQ,Lasso,ElasticNet,RF,GB,NN_2_e10
HAR,0.0,-1.4151289145174524,2.120814711655095,-1.3489774925197981,0.9300260403298433,0.5215389864340031,-1.562493199319195,-2.723278849930532,0.7669901596129817
HAR-X,1.4151289145174524,0.0,3.951524835035616,0.24868965584381858,2.0872057413251888,1.8610048397029397,-0.42149800171176605,-0.9818156070039835,2.5599574418154467
LogHAR,-2.120814711655095,-3.951524835035616,0.0,-3.8246407219369694,-1.746484054501376,-2.017201231817835,-2.564222735628399,-3.385781767913407,-1.2255302662624745
HARQ,1.3489774925197981,-0.24868965584381858,3.8246407219369694,0.0,1.933717654704454,1.7197077442433544,-0.45410239186737467,-0.9856374067678573,2.3395124609546474
Lasso,-0.9300260403298433,-2.0872057413251888,1.746484054501376,-1.933717654704454,0.0,-2.2367130235111414,-1.577454929980662,-2.6494028975242325,0.41437347409371206
ElasticNet,-0.5215389864340031,-1.8610048397029397,2.017201231817835,-1.7197077442433544,2.2367130235111414,0.0,-1.4498079917987716,-2.478544606234404,0.6560670556981237
RF,1.562493199319195,0.42149800171176605,2.564222735628399,0.45410239186737467,1.577454929980662,1.4498079917987716,0.0,-0.7800720154196593,1.668973998639339
GB,2.723278849930532,0.9818156070039835,3.385781767913407,0.9856374067678573,2.6494028975242325,2.478544606234404,0.7800720154196593,0.0,2.5114742167205586
NN_2_e10,-0.7669901596129817,-2.5599574418154467,1.2255302662624745,-2.3395124609546474,-0.41437347409371206,-0.6560670556981237,-1.668973998639339,-2.5114742167205586,0.0
