,HAR,HAR-X,LogHAR,HARQ,Lasso,ElasticNet,RF,GB,NN_2_e10
HAR,1.0,0.6629558572083698,0.009783480829646418,0.455669969693419,0.9629845337246372,0.8500055313034836,0.840869930471948,0.8725359942106488,0.46774509122594465
HAR-X,0.3370441427916302,1.0,0.0017002431360666481,0.09313643706192487,0.8220596534489442,0.707570845284056,0.7925782267758257,0.8664479098067663,0.37747605077391855
LogHAR,0.9902165191703536,0.9982997568639334,1.0,0.9998728557546311,0.9999893594561533,0.9999029902674835,0.9557062214599471,0.8920792043422259,0.989054835755009
HARQ,0.544330030306581,0.9068635629380751,0.00012714424536885982,1.0,0.9674441322156788,0.942932599414926,0.8375709514055074,0.871268318338057,0.49497223087623166
Lasso,0.037015466275362785,0.17794034655105584,1.0640543846696104e-05,0.03255586778432118,1.0,0.0441007029070799,0.7187925821204009,0.8593345346301402,0.09465719320427257
ElasticNet,0.14999446869651645,0.292429154715944,9.700973251647316e-05,0.05706740058507398,0.9558992970929201,1.0,0.762366185994985,0.8628968645229947,0.20999179461527107
RF,0.15913006952805198,0.20742177322417432,0.0442937785400529,0.1624290485944926,0.28120741787959913,0.23763381400501504,1.0,0.8729458630250441,0.16120123682681997
GB,0.12746400578935124,0.13355209019323366,0.10792079565777413,0.12873168166194304,0.1406654653698598,0.13710313547700526,0.12705413697495593,1.0,0.1277923850810847
NN_2_e10,0.5322549087740553,0.6225239492260815,0.010945164244991035,0.5050277691237683,0.9053428067957274,0.7900082053847289,0.83879876317318,0.8722076149189153,1.0
