,HAR,HAR-X,LogHAR,HARQ,Lasso,ElasticNet,RF,GB,NN_2_e10
HAR,1.0,0.67155635648283,0.06783158021853275,0.8137178299811187,0.35443150701428494,0.8647084362707573,0.45980501196320767,0.9195463484478991,0.17287524542983213
HAR-X,0.32844364351717004,1.0,0.0213898491557587,0.893964030247674,0.14959813328965765,0.9067489042813576,0.28534900176547395,0.8939199873951246,0.08171461794411028
LogHAR,0.9321684197814673,0.9786101508442413,1.0,0.9755092175813374,0.9754087891875426,0.9849080423316764,0.9666551674439879,0.9291834954203164,0.9991660052383854
HARQ,0.18628217001888125,0.10603596975232599,0.02449078241866265,1.0,0.10656164038387839,0.7075093595917136,0.2136151319019528,0.8916435686696723,0.08088405320601355
Lasso,0.6455684929857151,0.8504018667103423,0.02459121081245741,0.8934383596161216,1.0,0.978015421657529,0.6005379748972124,0.8999656912837997,0.10509781526131512
ElasticNet,0.13529156372924267,0.09325109571864243,0.015091957668323608,0.29249064040828643,0.02198457834247103,1.0,0.138856060888234,0.8821139446351653,0.05333734289275227
RF,0.5401949880367923,0.714650998234526,0.03334483255601206,0.7863848680980472,0.3994620251027876,0.861143939111766,1.0,0.9097153816690403,0.1336607737067559
GB,0.08045365155210094,0.10608001260487543,0.07081650457968358,0.10835643133032768,0.10003430871620034,0.11788605536483465,0.09028461833095969,1.0,0.0952480605635615
NN_2_e10,0.8271247545701679,0.9182853820558897,0.0008339947616146093,0.9191159467939864,0.8949021847386849,0.9466626571072477,0.8663392262932441,0.9047519394364385,1.0
