,HAR,LogHAR,HARQ,Lasso,ElasticNet,RF,GB,NN_2_e10
HAR,1.0,9.261909745816865e-06,0.9225220122450923,0.9999997564646185,1.0,0.9893924464828361,0.983403169134557,0.9999812443927358
LogHAR,0.9999907380902542,1.0,0.9999559996804239,0.9999999774595641,0.9999999982521486,0.9989816747329906,0.9932617579891199,0.9999999473992324
HARQ,0.07747798775490766,4.400031957607631e-05,1.0,0.8963731078699123,0.6576574511903568,0.968743014134619,0.9740616289106979,0.7562396254053115
Lasso,2.4353538152777077e-07,2.2540435851148288e-08,0.10362689213008769,1.0,0.00829329398710621,0.8788303818801781,0.9433792398608625,0.12174450541735049
ElasticNet,0.0,1.7478514191537897e-09,0.3423425488096432,0.9917067060128938,1.0,0.9499320529567539,0.966764461676956,0.8929325803290299
RF,0.010607553517163915,0.0010183252670094012,0.03125698586538095,0.12116961811982185,0.05006794704324613,1.0,0.8975407233327017,0.08836269363477878
GB,0.016596830865442946,0.0067382420108801355,0.02593837108930208,0.05662076013913753,0.033235538323044045,0.10245927666729826,1.0,0.04523616452259516
NN_2_e10,1.875560726416481e-05,5.2600767630472944e-08,0.24376037459468847,0.8782554945826495,0.10706741967097011,0.9116373063652212,0.9547638354774048,1.0
