,HAR,LogHAR,HARQ,Lasso,ElasticNet,RF,GB,NN_2_e10
HAR,0.0,1.5149461848018801,1.4819099096737722,-0.6082157012497694,-4.3701728792330234,-2.258590574837616,-1.5166918355107482,0.782107527779109
LogHAR,-1.5149461848018801,0.0,-1.0298164372482679,-1.9501426604943992,-1.64583219523384,-2.1312573170775013,-1.5408417880123022,-3.3759290415906396
HARQ,-1.4819099096737722,1.0298164372482679,0.0,-1.98318257119871,-1.7609388674678217,-2.222011146986766,-1.5805239309990575,0.0065863953904478105
Lasso,0.6082157012497694,1.9501426604943992,1.98318257119871,0.0,-0.050809451624188956,-2.081798698754848,-1.3936918937482103,1.08294813265033
ElasticNet,4.3701728792330234,1.64583219523384,1.7609388674678217,0.050809451624188956,0.0,-2.1926205122593583,-1.468498915679692,0.9073033499021874
RF,2.258590574837616,2.1312573170775013,2.222011146986766,2.081798698754848,2.1926205122593583,0.0,0.41260750739242846,1.9000521208063583
GB,1.5166918355107482,1.5408417880123022,1.5805239309990575,1.3936918937482103,1.468498915679692,-0.41260750739242846,0.0,1.3412655207664073
NN_2_e10,-0.782107527779109,3.3759290415906396,-0.0065863953904478105,-1.08294813265033,-0.9073033499021874,-1.9000521208063583,-1.3412655207664073,0.0
