ticker,info_set,model,in_mcs,mcs_pvalue
AAPL,M_HAR,HAR,False,0.006
AAPL,M_HAR,LogHAR,True,1.0
AAPL,M_HAR,HARQ,False,0.0004
AAPL,M_HAR,Lasso,False,0.0
AAPL,M_HAR,ElasticNet,False,0.0
AAPL,M_HAR,RF,True,0.1244
AAPL,M_HAR,GB,True,0.1244
AAPL,M_HAR,NN_2_e10,False,0.0002
AAPL,M_ALL,HAR,False,0.0346
AAPL,M_ALL,HAR-X,False,0.0225
AAPL,M_ALL,LogHAR,True,1.0
AAPL,M_ALL,HARQ,False,0.0075
AAPL,M_ALL,Lasso,False,0.002
AAPL,M_ALL,ElasticNet,False,0.0075
AAPL,M_ALL,RF,False,0.0726
AAPL,M_ALL,GB,False,0.0971
AAPL,M_ALL,NN_2_e10,False,0.0726
JPM,M_HAR,HAR,False,0.0013
JPM,M_HAR,LogHAR,True,1.0
JPM,M_HAR,HARQ,False,0.0015
JPM,M_HAR,Lasso,False,0.0
JPM,M_HAR,ElasticNet,False,0.0
JPM,M_HAR,RF,False,0.0051
JPM,M_HAR,GB,False,0.0157
JPM,M_HAR,NN_2_e10,False,0.0
JPM,M_ALL,HAR,False,0.0031
JPM,M_ALL,HAR-X,False,0.0031
JPM,M_ALL,LogHAR,True,1.0
JPM,M_ALL,HARQ,False,0.0031
JPM,M_ALL,Lasso,False,0.0015
JPM,M_ALL,ElasticNet,False,0.003
JPM,M_ALL,RF,False,0.0852
JPM,M_ALL,GB,True,0.1122
JPM,M_ALL,NN_2_e10,False,0.0007
AMZN,M_HAR,HAR,True,1.0
AMZN,M_HAR,LogHAR,False,0.0057
AMZN,M_HAR,HARQ,False,0.0047
AMZN,M_HAR,Lasso,False,0.0026
AMZN,M_HAR,ElasticNet,False,0.0002
AMZN,M_HAR,RF,False,0.0002
AMZN,M_HAR,GB,False,0.0004
AMZN,M_HAR,NN_2_e10,False,0.0631
AMZN,M_ALL,HAR,True,1.0
AMZN,M_ALL,HAR-X,True,0.5503
AMZN,M_ALL,LogHAR,True,0.5503
AMZN,M_ALL,HARQ,True,0.1479
AMZN,M_ALL,Lasso,True,0.5503
AMZN,M_ALL,ElasticNet,True,0.5503
AMZN,M_ALL,RF,False,0.043
AMZN,M_ALL,GB,False,0.0218
AMZN,M_ALL,NN_2_e10,True,0.9849
