date,RV,RVD,RVW,RVM,RQ_lag,M1W,d_log_dvol,EA,VIX,d_US3M,HSI,ADS,EPU
2016-02-04,0.0008357974831508,0.0011890174186255,0.0007300620557268401,0.0006041048520269455,1.7188161502490894e-06,-0.094830514190578,0.4874053475358266,0,21.65,-0.010000000000000009,0.0005611374327292,-0.1650664498043853,73.51
2016-02-05,0.0006974297104782,0.0008357974831508,0.0007455538590189,0.0006219198813465227,1.077969720415662e-06,-0.1700622088607022,-0.4987001812001566,0,21.84,-0.040000000000000036,0.0001006593288618,-0.1749992248356597,40.73
2016-02-08,0.0016169249379079,0.0006974297104782,0.0007295301201589,0.0006352932990804409,4.821485369833517e-07,-0.1540880711513828,0.4142552658554592,0,23.38,0.0,2.9842150055537423e-05,-0.1855222210616247,41.41
2016-02-09,0.001709688404736,0.0016169249379079,0.00100017101725848,0.0006872799323081499,4.239920923520986e-06,-0.1632352985608007,-0.0036447849858411,0,26.0,0.030000000000000027,0.0,-0.2201569154056281,88.26
2016-02-10,0.000871422029137,0.001709688404736,0.0012097715909796798,0.0007324928185049773,5.58246803328316e-06,-0.1351328067715704,-0.3515967707685909,0,26.54,-0.020000000000000018,0.0,-0.2320446761077102,38.4
2016-02-11,0.000991307143217,0.000871422029137,0.0011462525130819798,0.0007535557151385454,8.978704570737771e-07,-0.079163917836051,-0.1374082235693841,0,26.29,0.010000000000000009,0.0,-0.2440253218698983,77.84
2016-02-12,0.0003825419700041,0.000991307143217,0.00117735444509522,0.00077820592566715,1.336584585112075e-06,-0.0627249236316664,0.190129735136896,0,28.14,-0.02999999999999997,0.0015404494707915,-0.2561039375585166,106.25
2016-02-16,0.0003384414112652,0.0003825419700041,0.0011143768970004,0.0007850112080584545,2.0722613969473585e-07,0.0099108838994537,-0.2962564721462861,0,25.4,0.009999999999999953,0.0001506253744865,-0.268285649620618,74.63
2016-02-17,0.0002554340894565,0.0003384414112652,0.00085868019167186,0.000767895901655059,2.0344967683372138e-07,0.0649991030141405,-0.0592925003836306,0,24.11,0.010000000000000009,0.0001149700599695,-0.3165440572271479,48.57
2016-02-18,0.0003234977289265,0.0002554340894565,0.00056782932861596,0.0007257523404891137,5.538301366484539e-08,0.10282618662526,-0.0239399380906526,0,22.31,0.0,0.0001077983431555,-0.3277155649767682,108.64
2016-02-19,0.0004000673249175,0.0003234977289265,0.00045824446857386,0.0007117905744503727,1.4287022242492405e-07,0.0681768779696221,-0.0380798472560925,0,21.64,0.0,0.000524733848128,-0.3384861346861388,117.33
2016-02-22,0.000268621845212,0.0004000673249175,0.00033999650491396,0.0007131236356256,7.316220291940782e-07,0.0601105430575956,0.0376643088359784,0,20.53,0.0,1.6117381930178512e-05,-0.3488603376369998,85.85
2016-02-23,0.0001944754617035,0.000268621845212,0.00031721247995554003,0.0006707303235565909,1.682489184857729e-07,0.0983537771766762,0.1506312069767119,0,19.38,0.030000000000000027,8.49660514303893e-05,-0.3780581095644733,55.88
2016-02-24,0.0004693121801128,0.0001944754617035,0.0002884192900432,0.0006429812013236591,4.62501133442458e-08,0.05886242720277,-0.2939522874860643,0,20.98,-0.010000000000000009,6.434470983475737e-06,-0.3877097215964571,57.33
