date,RV,RVD,RVW,RVM,RQ_lag,M1W,d_log_dvol,EA,VIX,d_US3M,HSI,ADS,EPU
2016-02-04,0.0003358481898399,0.0003189239517145,0.00022611692891784,0.0003312600007492,1.3360526529771058e-07,0.0306652054434941,0.2389523067331751,0,21.65,-0.010000000000000009,0.0005611374327292,-0.1650664498043853,73.51
2016-02-05,0.0002495766390554,0.0003358481898399,0.00021748115484134003,0.00032533289899193185,1.425795415236064e-07,0.0318282491763493,-0.1228786508089641,0,21.84,-0.040000000000000036,0.0001006593288618,-0.1749992248356597,40.73
2016-02-08,0.0003705866406865,0.0002495766390554,0.00024309887712414,0.0003213989015789864,7.021565801724653e-08,-0.0285865904197097,0.1160210358936204,0,23.38,0.0,2.9842150055537423e-05,-0.1855222210616247,41.41
2016-02-09,0.0003559500863079,0.0003705866406865,0.00029133211374708,0.0003209808161889091,1.7053169972610317e-07,-0.0089209956309104,0.1736939107699697,0,26.0,0.030000000000000027,0.0,-0.2201569154056281,88.26
2016-02-10,0.0002007145813,0.0003559500863079,0.00032617710152084,0.0003177752406741682,1.4460239124885018e-07,0.0111107067072686,-0.1873994198690241,0,26.54,-0.020000000000000018,0.0,-0.2320446761077102,38.4
2016-02-11,0.0002777010261867,0.0002007145813,0.00030253522743794,0.00030684412720272727,4.8456957198636166e-08,-0.0163375025267877,-0.0490725378501188,0,26.29,0.010000000000000009,0.0,-0.2440253218698983,77.84
2016-02-12,0.0001265486619178,0.0002777010261867,0.0002909057947073,0.0003099304111951682,8.250006604026718e-08,-0.0308858308613815,0.1314545331685366,0,28.14,-0.02999999999999997,0.0015404494707915,-0.2561039375585166,106.25
2016-02-16,0.0001398731954873,0.0001265486619178,0.00026630019927978,0.0003057982329920318,2.6888048417727018e-08,-0.0001877141119597,-0.2139298087255632,0,25.4,0.009999999999999953,0.0001506253744865,-0.268285649620618,74.63
2016-02-17,0.0001438729883763,0.0001398731954873,0.00022015751023994,0.0002933533034621773,2.3595760157738695e-08,0.0168047968353692,0.2113514980431468,0,24.11,0.010000000000000009,0.0001149700599695,-0.3165440572271479,48.57
2016-02-18,9.34200143234262e-05,0.0001438729883763,0.00017774209065362,0.0002815195791532454,3.531835865733107e-08,0.0320257606720644,-0.0654771353834782,0,22.31,0.0,0.0001077983431555,-0.3277155649767682,108.64
2016-02-19,0.0001429556017586,9.34200143234262e-05,0.00015628317725830524,0.00027260500328873754,7.243262756579619e-09,0.0208847395379354,-0.2408486182078455,0,21.64,0.0,0.000524733848128,-0.3384861346861388,117.33
2016-02-22,9.276990368356352e-05,0.0001429556017586,0.00012933409237268523,0.0002650512465478467,3.6019351329377837e-08,0.0249774618289477,-0.0870256658337425,0,20.53,0.0,1.6117381930178512e-05,-0.3488603376369998,85.85
2016-02-23,6.277554071079292e-05,9.276990368356352e-05,0.00012257834072583793,0.0002447798746411677,9.491045381334732e-09,0.0301869594181005,0.0740580432827009,0,19.38,0.030000000000000027,8.49660514303893e-05,-0.3780581095644733,55.88
2016-02-24,0.0001953266065062,6.277554071079292e-05,0.00010715880977053653,0.00022458646705351284,5.209299985992152e-09,-0.0201533256827257,-0.1674183971322627,0,20.98,-0.010000000000000009,6.434470983475737e-06,-0.3877097215964571,57.33
2016-02-25,0.0001430161768227,0.0001953266065062,0.00011744953339651652,0.0002218724406072856,3.13833892907285e-08,-0.0207157728309015,0.1950420752144879,0,20.72,0.010000000000000009,0.0001326565755539,-0.3973960215881674,62.26
2016-02-26,9.48326102364194e-05,0.0001430161768227,0.0001273687658963713,0.00021866336258526738,2.5017376494247092e-08,0.0052107257491855,-0.2846618142883095,0,19.11,-0.010000000000000009,0.000254416060241,-0.4071211206319114,57.5
2016-02-29,0.0001107844923768,9.48326102364194e-05,0.00011774416759193518,0.00020624307006769554,1.1018713434389808e-08,0.009099909606816,0.0822281562469946,0,19.81,0.0,0.0006178670588877,-0.4168891462872224,41.87
2016-03-01,0.000141730859087,0.0001107844923768,0.00012134708533058247,0.00019396080000752284,1.5632429280097065e-08,-0.0022794630339548,-0.002129637044792,0,20.55,0.010000000000000009,0.0001718906513608,-0.4470954189566137,65.74
2016-03-02,0.0001147984596396,0.000141730859087,0.00013713814900582387,0.0001831746090468228,3.028938445975725e-08,0.0598076753413017,0.610489369839204,0,17.7,0.0,0.0002354642833407,-0.4582832266135705,49.35
2016-03-03,0.00012013020656,0.0001147984596396,0.00012103251963250386,0.0001828705377740137,3.4211924767161636e-08,0.0470727870675569,-0.4462072874619878,0,17.09,0.019999999999999962,0.000915013707671,-0.4692998530929333,41.64
2016-03-04,0.0001909840440522,0.00012013020656,0.00011645532557996386,0.00018244825363711374,2.9459044017950438e-08,0.0478019091192183,0.0798818532938199,0,16.7,-0.07999999999999996,9.552774922311208e-06,-0.4801499741086914,48.6
2016-03-07,0.0001309199851576,0.0001909840440522,0.00013568561234312,0.0001828691125740728,5.1919683829099975e-08,0.0610957845261981,0.2905301771617772,0,16.86,0.010000000000000009,0.0001371808035044,-0.4908381947060204,46.74
2016-03-08,0.0001432515041913,0.0001309199851576,0.00013971271089928,0.00017432347773057736,2.7455607553407072e-08,0.0525863876943826,-0.2773415707734727,0,17.35,0.03999999999999998,7.087038315981567e-07,-0.5209943743370589,59.99
2016-03-09,0.0001092219917231,0.0001432515041913,0.00014001683992014,0.00016556908292836826,2.2989254521366242e-08,0.0050772639380709,-0.1511100059362142,0,18.67,-0.030000000000000027,5.439769333213519e-05,-0.5291150594839662,77.42
2016-03-10,0.0002275084741757,0.0001092219917231,0.00013890154633684,0.00015918932623144554,1.4772046467902136e-08,0.0037590742752668,-0.1667318026816495,0,18.34,0.010000000000000009,5.865500495374508e-07,-0.5361125152292583,46.99
2016-03-11,6.848196749984585e-05,0.0002275084741757,0.00016037719985998,0.00015268577320822735,6.584236880550132e-08,-0.0032649181212831,0.242369728339959,0,18.05,0.010000000000000009,3.507935607715281e-07,-0.5419897114568448,30.22
2016-03-14,7.732804324714556e-05,6.848196749984585e-05,0.00013587678454950918,0.00013961904053513398,7.23918981728883e-09,-0.0074359372092733,-0.2468783875974196,0,16.5,0.010000000000000009,0.000114700176449,-0.5467491425862894,29.26
2016-03-15,8.969162529517429e-05,7.732804324714556e-05,0.00012515839616741828,0.00013401056153273153,5.2882964858851564e-09,0.0063884190161176,-0.083483047605597,0,16.92,0.020000000000000018,0.0001346287842596,-0.5546518069563902,54.04
2016-03-16,0.0001010176217235,8.969162529517429e-05,0.00011444642038819312,0.00012546467967402582,1.0215356332436976e-08,0.0344151358423898,0.5090115366409478,0,16.84,0.0,5.181465120708e-05,-0.5555820353628479,45.63
2016-03-17,7.81908783181696e-05,0.0001010176217235,0.00011280554638827314,0.00012430417784701218,1.288792829363562e-08,0.0469581838608288,-0.0027648036760474,0,14.99,-0.030000000000000027,2.348796171175737e-06,-0.5557133960881424,48.66
2016-03-18,7.310580035119103e-05,7.81908783181696e-05,8.294202721676705e-05,0.00012150043615750624,7.135634244650356e-09,0.0447664157441294,-0.1661723758463651,0,14.44,-0.020000000000000018,0.0001458254185555,-0.5550459448848385,40.06
2016-03-21,0.0001539975589732,7.310580035119103e-05,8.386679378703609e-05,0.00011828374579272858,7.0210902170030245e-09,0.0351820637104789,0.1873273506423522,0,14.02,0.0,6.644729787005766e-05,-0.5535793984710319,58.48
2016-03-22,8.06610338831868e-05,0.0001539975589732,9.920069693224699e-05,0.00012103727054953647,4.581996084629337e-08,0.0325107997351437,-0.0878714563491307,0,13.79,0.020000000000000018,3.6657571978739026e-07,-0.5440993710239647,89.85
2016-03-23,5.5928342847616166e-05,8.06610338831868e-05,9.73945786498495e-05,0.00011820569928247224,1.2503730374123277e-08,0.0204582953548602,-0.1365076076201319,0,14.17,-0.010000000000000009,7.082850865906283e-07,-0.5388709149348314,55.17
2016-03-24,5.31543820937761e-05,5.5928342847616166e-05,8.837672287467273e-05,0.00011653108288083826,5.665885144070863e-09,0.0015805676695341,-0.1901512221191161,0,14.94,0.0,6.22993047574455e-06,-0.5325586035001407,87.98
2016-03-28,6.451101133229141e-05,5.31543820937761e-05,8.336942362979401e-05,0.00011609375748915567,2.8783971879145362e-09,-0.0013351136829693,-0.033426593845121,0,14.74,-0.010000000000000009,0.0001733175587977,-0.5251597576272562,50.15
2016-03-29,8.161347883565054e-05,6.451101133229141e-05,8.165046582601411e-05,0.00011014759407215983,6.054164041443718e-09,-0.0068122716690788,-0.3118364690153008,0,15.24,0.0,0.0,-0.4848416662807514,105.86
2016-03-30,0.0001550607311781,8.161347883565054e-05,6.71736497985042e-05,0.00010735656234547576,8.439097754511002e-09,0.0165641243518495,0.5244792687009863,0,13.82,-0.05999999999999997,1.033230273486072e-06,-0.4723786369535454,69.82
2016-03-31,8.24295327694545e-05,0.0001550607311781,8.205358925748685e-05,0.00011009420420646124,6.680868244469817e-08,0.0263473641837173,0.4193516139053805,0,13.56,-0.03,0.0004508985459855,-0.4590159194177248,124.96
2016-04-01,0.0001185245129846,8.24295327694545e-05,8.73538272418545e-05,0.00010880534240612735,1.2521631605905874e-08,0.0262109711913391,-0.6792971635961074,0,13.95,0.009999999999999981,1.6482845000169793e-06,-0.444747842223374,36.42
2016-04-04,0.0001256527328415,0.0001185245129846,0.0001004278534200193,0.00010775050849238188,2.3246148900796712e-08,0.0398997256736812,0.0459258417282377,0,13.1,0.020000000000000018,0.0001811697396833,-0.4295683496647594,30.46
2016-04-05,0.0001011313874584,0.0001256527328415,0.00011265619772186102,0.00010824388454701372,3.630026493299558e-08,0.0549099954147833,0.4472488875723286,0,14.12,0.0,0.0,-0.3905671587702601,38.89
2016-04-06,6.16288160050697e-05,0.0001011313874584,0.00011655977944641089,0.00010738030186057735,1.2645438427957005e-08,0.0195535823021031,-0.358140009730068,0,15.42,0.0,0.0002505526881577,-0.3804430037617931,25.71
2016-04-07,9.648487300430514e-05,6.16288160050697e-05,9.787339641180483e-05,0.00010150051876752598,4.333455452081047e-09,0.0123613935271231,-0.0002687733865016,0,14.09,0.0,2.1591428981149464e-06,-0.3718387142157824,36.17
2016-04-08,0.000109056773602,9.648487300430514e-05,0.00010068446445877498,9.993528639692167e-05,9.56362278043258e-09,-0.0038535693159897,0.1180397745100521,0,16.16,0.0,8.610507941212666e-06,-0.3647506382704651,28.9
2016-04-11,0.0001448162112626,0.000109056773602,9.879091658225497e-05,9.838098046104439e-05,1.2796369234747925e-08,-0.0119051427287546,-0.2544937537257787,0,15.36,0.0,2.6376186735442508e-05,-0.3591757675805991,30.25
2016-04-12,0.0001124966448562,0.0001448162112626,0.00010262361226647497,9.999889953102168e-05,5.701209589488731e-08,-0.0190756765999902,0.1790380382720862,0,16.26,0.0,1.1906181722743794e-05,-0.3513361962794959,101.11
2016-04-13,9.271564492588468e-05,0.0001124966448562,0.00010489666374603496,9.477108910740803e-05,2.4102703804717063e-08,0.0057683223554834,0.0149475957174374,0,14.85,-0.010000000000000009,9.659675832130095e-06,-0.3514493504767003,34.46
2016-04-14,6.010960699825034e-05,9.271564492588468e-05,0.00011111402953019796,9.587261989950072e-05,1.1322120957652776e-08,0.0097723869239332,0.1966256694554999,0,13.84,0.010000000000000009,0.0009866046825766,-0.3528963293974664,37.74
2016-04-15,0.000136756333026,6.010960699825034e-05,0.00010383897632898701,9.508996370636911e-05,5.4339411195135524e-09,0.032271829086345,-0.2765777070340007,0,13.72,-0.010000000000000009,7.10473110554981e-05,-0.3556777471734972,21.42
2016-04-18,0.0001478038762334,0.000136756333026,0.00010937888821378702,9.722926860322483e-05,5.1596646616236396e-08,0.0105803999565865,0.5479389842838387,0,13.62,0.0,1.001191785612871e-06,-0.3597947843035626,52.17
2016-04-19,0.0001349843324218,0.0001478038762334,0.00010997642120794701,9.9355916535493e-05,6.252194801603324e-08,-0.0150421685457033,0.0800318921093108,0,13.35,0.0,5.3239691446413536e-05,-0.3798262020961258,63.08
2016-04-20,0.0001012060886132,0.0001349843324218,0.000114473958721067,0.0001019374371765671,3.3210229829140754e-08,-0.0321043785051395,-0.4451368379525853,0,13.24,-0.010000000000000009,0.0001663609572058,-0.3886012765908171,20.66
2016-04-21,8.670391926534252e-05,0.0001012060886132,0.00011617204745853008,0.00010321472300665841,1.7635821553094382e-08,-0.0448097505391018,-0.1122089150721095,0,13.28,0.020000000000000018,8.778029158733733e-05,-0.3983722215339531,41.3
2016-04-22,0.0001877723930176,8.670391926534252e-05,0.00012149090991194851,0.0001001559212017558,2.4566074420980368e-08,-0.0562097986312286,0.1112650245533721,0,13.95,0.0,0.0003243744678862,-0.4091431839431391,34.27
2016-04-25,7.129788250741052e-05,0.0001877723930176,0.00013169412191026852,0.00010502461934422913,8.72343470727182e-08,-0.0383662538519335,0.0028904404288745,0,13.22,0.0,5.1900284074292384e-05,-0.4209187352667859,112.29
2016-04-26,0.000106524864101,7.129788250741052e-05,0.0001163929231650706,0.00010572323478331069,1.3831586551513958e-08,-0.0218410940789479,-0.1472009379751711,1,14.08,0.01999999999999999,5.780889196838906e-05,-0.4615563828153075,59.83
2016-04-27,0.0002695688854874,0.000106524864101,0.0001107010295009106,0.00010814916578363907,1.3209529000544832e-08,-0.0251010275951926,0.3708721914101254,0,13.96,-0.010000000000000009,2.318505355639248e-05,-0.4758669126374608,49.42
2016-04-28,0.000281210138592,0.0002695688854874,0.00014437358887575062,0.0001174699782452349,9.549750178906405e-08,-0.0910247201607679,0.9478779926286158,0,13.77,0.0,4.561055160412163e-06,-0.4904416876175579,42.37
2016-04-29,0.0002135567367678,0.000281210138592,0.0001832748327410821,0.00012654255368870534,8.84944696135117e-08,-0.1111913548248133,-0.2976855602709136,0,15.22,-0.01999999999999999,1.5289013354860126e-06,-0.5052868936310473,20.3
2016-05-02,0.0002246234131481,0.0002135567367678,0.0001884317014911221,0.0001292014630336917,3.9647814813919166e-08,-0.1199036613564263,-0.2294572267181855,0,15.7,0.0,0.0002286489130302,-0.5204088313306343,54.91
2016-05-03,0.0001609187979266,0.0002246234131481,0.00021909680761926002,0.00013566482123272104,7.6542250173047e-08,-0.1152935883117751,-0.3265130017783519,0,14.68,0.0,0.0,-0.5650830771150319,72.72
2016-05-04,0.0001113240124603,0.0001609187979266,0.00022997559438438,0.00013759183418463015,2.9110689060939453e-08,-0.0914814504048746,0.1720177544345702,0,15.6,-0.010000000000000009,0.0003493610477073,-0.5765428283113321,45.4
2016-05-05,0.000111174237143,0.0001113240124603,0.00019832661977896003,0.0001369405287127574,2.402128690591454e-08,-0.037729920368636,-0.4062538558881066,0,16.05,-0.01999999999999999,5.3801438313179014e-05,-0.5858928117553083,44.1
2016-05-06,0.0001270130937716,0.000111174237143,0.00016431943948915997,0.00013739702188023922,1.5509743353255394e-08,-0.010757821242648,-0.1131419072211983,0,15.91,0.010000000000000009,1.3764107726541272e-05,-0.5931369957986574,34.04
2016-05-09,8.827896759958124e-05,0.0001270130937716,0.00014701071088992,0.00014036903450599062,1.5967926505065607e-08,-0.0048588439105778,0.2449334776199592,0,14.72,-0.010000000000000009,0.0002810115524457,-0.5982784550425507,31.3
2016-05-10,0.0001210101825074,8.827896759958124e-05,0.00011974182178021625,0.00013999603880577587,1.3244705497797892e-08,-0.00301958238399,-0.3583316904005116,0,14.57,0.04999999999999999,5.436018630844233e-06,-0.6020525224227,59.73
2016-05-11,0.0001224913558393,0.0001210101825074,0.00011176009869637625,0.00014053937557420316,6.436303209054126e-08,-0.0128269675362742,0.1010704515896101,0,13.63,0.0,1.8071065584091354e-05,-0.6006937417080016,62.97
