model,AAPL,AMZN,JPM
HAR,7.57059848855838e-09,5.118813213205372e-09,4.677051195171659e-09
HAR-X,7.930690015245091e-09,5.938413083805929e-09,7.883511984694965e-09
LogHAR,5.379637178823778e-09,5.909552510615818e-09,2.460334538913799e-09
HARQ,7.477915912500096e-09,6.251985045421332e-09,8.107501851648513e-09
Lasso,8.681095529810596e-09,5.872257595648192e-09,8.40934883693283e-09
ElasticNet,8.285889767186395e-09,5.9863624134152064e-09,8.026745144822948e-09
RF,1.027578918778673e-08,1.3413105586881787e-08,1.7757143536737188e-08
GB,3.0261325604487064e-08,1.744595821761568e-08,5.559269910023263e-08
NN_2_e10,7.462752848357522e-09,5.141743127314276e-09,7.038966017414201e-09
