model,AAPL,AMZN,JPM
HAR,1.0,1.0,1.0
HAR-X,0.9912983582371985,1.060142828098331,0.9619163915969661
LogHAR,0.8979812505884405,0.9198281869372575,0.6677787918305179
HARQ,0.9916690681792836,1.05886260327919,0.9776869254603991
Lasso,0.9747496624200592,0.9799259020656075,0.8890052616702555
ElasticNet,0.9944180315439266,0.9884621177312081,0.9657308057036712
RF,0.9847789827884597,1.0847148852215274,0.7989887069195312
GB,1.1005372429115319,1.1196986936864404,0.7468483367284167
NN_2_e10,0.9706137218591349,0.9659491829250902,0.843048558669342
