model,AAPL,AMZN,JPM
HAR,7.57059848855838e-09,5.118813213205372e-09,4.677051195171659e-09
LogHAR,4.881913964518013e-09,6.667175067873378e-09,2.5452302846046604e-09
HARQ,6.948321624898715e-09,5.700799297630205e-09,5.754694844599951e-09
Lasso,9.327294425759881e-09,6.452294010925059e-09,7.129759570538823e-09
ElasticNet,8.976586534585785e-09,6.229114162711133e-09,6.099910020347909e-09
RF,1.637600813858333e-08,1.4808567847560668e-08,9.82266675113134e-09
GB,1.4614680917534783e-08,1.2961490196978263e-08,1.4901425431265798e-08
NN_2_e10,6.385591508921229e-09,6.315151012759505e-09,6.584637914811294e-09
