model,AAPL,AMZN,JPM
HAR,1.3531300996941958e-08,8.884214846520692e-09,5.262923078185853e-09
HAR-X,1.3789897476677567e-08,1.0061521473772054e-08,6.77163391649649e-09
LogHAR,1.0766178270429184e-08,8.192438039522473e-09,2.8238141697488603e-09
HARQ,1.3984056433507255e-08,1.0251379765073174e-08,7.181897784924404e-09
Lasso,1.3258020632886882e-08,8.799085967489783e-09,6.316615044235035e-09
ElasticNet,1.4135264459884e-08,9.408740838601282e-09,7.1118085414761036e-09
RF,1.3450622758846e-08,1.1814815591190867e-08,3.312529514535683e-09
GB,1.9681794979418014e-08,1.172088786372565e-08,3.0507182195017746e-09
NN_2_e10,1.2057782515811843e-08,9.595125295784318e-09,4.212630821805243e-09
