model,AAPL,AMZN,JPM
HAR,2.6982201662562814e-08,1.4189184337596627e-08,8.34477081322706e-09
LogHAR,2.4827453731281577e-08,1.4413034283971141e-08,7.415636673532661e-09
HARQ,2.586652577646168e-08,1.4176836903614225e-08,9.034177013640008e-09
Lasso,2.7140898675160246e-08,1.4341306376243137e-08,8.200565470647035e-09
ElasticNet,2.7153555028679847e-08,1.4289950079989308e-08,8.436110542269805e-09
RF,3.3611156096798607e-08,1.8461258045900552e-08,9.437485778954278e-09
GB,3.287336642551379e-08,1.677680654404918e-08,8.876697549622654e-09
NN_2_e10,2.5859105085402726e-08,1.433110387864865e-08,8.52952272561898e-09
