date,close,log_ret,log_ret_sq
2015-12-01,22381.349609375,,
2015-12-02,22479.689453125,0.004384205240135941,1.9221255587635445e-05
2015-12-03,22417.009765625,-0.002792175340854186,7.79624313407419e-06
2015-12-04,22235.890625,-0.00811235697265289,6.581033565174996e-05
2015-12-07,22203.220703125,-0.001470323180830846,2.1618502560885365e-06
2015-12-08,21905.130859375,-0.013516459874937325,0.00018269468755079075
2015-12-09,21803.759765625,-0.004638473960516976,2.151544068239404e-05
2015-12-10,21704.609375,-0.00455776965320176,2.077326421164689e-05
2015-12-11,21464.05078125,-0.011145172583708174,0.00012421487192064033
2015-12-14,21309.849609375,-0.0072100901944249784,5.1985400611743226e-05
2015-12-15,21274.369140625,-0.0016663674009578244,2.7767803149749347e-06
2015-12-16,21701.2109375,0.019865041155661345,0.00039461986011611903
2015-12-17,21872.060546875,0.007841985653668004,6.14967389923348e-05
2015-12-18,21755.560546875,-0.005340666027034757,2.8522713612323217e-05
2015-12-21,21791.6796875,0.0016588490436255654,2.751780149537453e-06
2015-12-22,21830.01953125,0.0017578340279769122,3.089980469913536e-06
2015-12-23,22040.58984375,0.00959968108808873,9.215387699300842e-05
2015-12-24,22138.130859375,0.004415753673605138,1.9498880505957275e-05
2015-12-28,21919.619140625,-0.009919413063428806,9.839475552292205e-05
2015-12-29,21999.619140625,0.003643054461310413,1.3271845808073704e-05
2015-12-30,21882.150390625,-0.005353887587007833,2.8664112294316554e-05
2015-12-31,21914.400390625,0.0014727189814571773,2.1689011983442655e-06
2016-01-04,21327.119140625,-0.027164510838037614,0.000737910649069863
2016-01-05,21188.720703125,-0.006510464187289955,4.2386143933985055e-05
2016-01-06,20980.810546875,-0.009860761301171195,9.723461343867544e-05
2016-01-07,20333.33984375,-0.03134634079706622,0.000982593081365818
2016-01-08,20453.7109375,0.005902434273076906,3.4838730347992906e-05
2016-01-11,19888.5,-0.028022654721906903,0.0007852691776632113
