date,value
2015-12-01,-0.7520714162246461
2015-12-02,-0.7411941362546152
2015-12-03,-0.7294896823875785
2015-12-04,-0.7169530869795133
2015-12-05,-0.7035790292060602
2015-12-06,-0.6893618328042417
2015-12-07,-0.6755020477429375
2015-12-08,-0.6619937916051467
2015-12-09,-0.6488313311709663
2015-12-10,-0.6360090799842789
2015-12-11,-0.623521595981731
2015-12-12,-0.6113635791829923
2015-12-13,-0.599529869441322
2015-12-14,-0.5878366129622614
2015-12-15,-0.5762788468542213
2015-12-16,-0.5648516657308948
2015-12-17,-0.553550219629298
2015-12-18,-0.5423697119513309
2015-12-19,-0.53130539742799
2015-12-20,-0.5203525801053644
2015-12-21,-0.5084094932686336
2015-12-22,-0.4954710679923595
2015-12-23,-0.4815318129061872
2015-12-24,-0.4665858118641776
2015-12-25,-0.4506267214338574
2015-12-26,-0.4336477682039178
2015-12-27,-0.41564174590942016
2015-12-28,-0.39743769031161047
2015-12-29,-0.37902787518344666
2015-12-30,-0.36040448696872823
2015-12-31,-0.34155962146584096
2016-01-01,-0.3224852804730284
2016-01-02,-0.30458142134930893
2016-01-03,-0.28784044527804664
2016-01-04,-0.27160566944204345
2016-01-05,-0.2558702034226551
2016-01-06,-0.24062736872000395
2016-01-07,-0.2258706959184673
2016-01-08,-0.211593921940906
2016-01-09,-0.1977909873904681
2016-01-10,-0.18445603397883897
2016-01-11,-0.17178918582305377
2016-01-12,-0.15978506681644028
2016-01-13,-0.1484385821300802
2016-01-14,-0.13774491605044492
2016-01-15,-0.12769952993549374
2016-01-16,-0.11829816028836831
2016-01-17,-0.10953681694786455
2016-01-18,-0.10263273226760389
2016-01-19,-0.09758297599254123
2016-01-20,-0.09438540488798458
2016-01-21,-0.09303866182995657
2016-01-22,-0.09354217522919911
2016-01-23,-0.09589615878857743
2016-01-24,-0.10010161159378089
2016-01-25,-0.10463246768560433
2016-01-26,-0.10949065006536321
2016-01-27,-0.11467822065930675
2016-01-28,-0.12019738119374765
2016-01-29,-0.12605047412952608
2016-01-30,-0.13223998365620526
2016-01-31,-0.13876853674641904
2016-02-01,-0.14695494923202726
2016-02-02,-0.15571968026572142
2016-02-03,-0.16506644980438534
2016-02-04,-0.17499922483565972
2016-02-05,-0.18552222106162478
2016-02-06,-0.19663990468804277
2016-02-07,-0.20835699431992027
2016-02-08,-0.2201569154056281
2016-02-09,-0.23204467610771023
2016-02-10,-0.2440253218698983
2016-02-11,-0.2561039375585166
2016-02-12,-0.268285649620618
2016-02-13,-0.28057562825976745
2016-02-14,-0.2929790896303987
2016-02-15,-0.3049668699880544
2016-02-16,-0.3165440572271479
2016-02-17,-0.32771556497676824
2016-02-18,-0.33848613468613886
2016-02-19,-0.3488603376369998
2016-02-20,-0.3588425768837667
2016-02-21,-0.3684370891222898
2016-02-22,-0.37805810956447333
2016-02-23,-0.38770972159645717
2016-02-24,-0.3973960215881674
2016-02-25,-0.4071211206319114
2016-02-26,-0.41688914628722246
2016-02-27,-0.42670424433269155
2016-02-28,-0.43657058052553316
2016-02-29,-0.4470954189566137
2016-03-01,-0.45828322661357057
2016-03-02,-0.4692998530929333
2016-03-03,-0.4801499741086914
2016-03-04,-0.4908381947060204
2016-03-05,-0.5013690512157708
2016-03-06,-0.5117470131797931
2016-03-07,-0.5209943743370589
2016-03-08,-0.5291150594839662
2016-03-09,-0.5361125152292583
2016-03-10,-0.5419897114568448
2016-03-11,-0.5467491425862894
2016-03-12,-0.5503928286315006
2016-03-13,-0.5529223160580728
2016-03-14,-0.5546518069563902
2016-03-15,-0.5555820353628479
2016-03-16,-0.5557133960881424
2016-03-17,-0.5550459448848385
2016-03-18,-0.5535793984710319
2016-03-19,-0.5513131344101176
2016-03-20,-0.5482461908466136
2016-03-21,-0.5440993710239647
2016-03-22,-0.5388709149348314
2016-03-23,-0.5325586035001407
2016-03-24,-0.5251597576272562
2016-03-25,-0.5166712370729083
2016-03-26,-0.5070894391104023
2016-03-27,-0.49641029700053635
2016-03-28,-0.4848416662807514
2016-03-29,-0.4723786369535454
2016-03-30,-0.45901591941772485
2016-03-31,-0.44474784222337405
2016-04-01,-0.42956834966475943
2016-04-02,-0.41539289977761507
2016-04-03,-0.4022154761694033
2016-04-04,-0.39056715877026016
2016-04-05,-0.3804430037617931
2016-04-06,-0.3718387142157824
2016-04-07,-0.36475063827046517
2016-04-08,-0.3591757675805991
2016-04-09,-0.3551117360406508
2016-04-10,-0.35255681878056494
2016-04-11,-0.35133619627949597
2016-04-12,-0.35144935047670034
2016-04-13,-0.3528963293974664
2016-04-14,-0.35567774717349726
2016-04-15,-0.3597947843035626
2016-04-16,-0.36524918815453006
2016-04-17,-0.3720432737029886
2016-04-18,-0.3798262020961258
2016-04-19,-0.38860127659081717
2016-04-20,-0.39837222153395313
