,HAR,HAR-X,LogHAR,HARQ,Lasso,ElasticNet,RF,GB,NN_2_e10
HAR,0.0,-1.4279415454068247,1.1547610608395176,-1.647040749467158,0.17513454598718156,-0.7115322574979723,-2.5719691948885552,-2.48010021711687,-0.6430702182498724
HAR-X,1.4279415454068247,0.0,3.8626541066159126,-1.605395594174965,2.3570247853162556,2.1398298096090698,-1.6435837647498708,-1.4420456655568743,0.5858918086371031
LogHAR,-1.1547610608395176,-3.8626541066159126,0.0,-4.344980155950202,-1.2105337156669789,-2.571249737510169,-3.9827498361682703,-3.4881210538653913,-1.520968537722504
HARQ,1.647040749467158,1.605395594174965,4.344980155950202,0.0,2.6701989706009712,2.8038712107082238,-1.5349889705177193,-1.3224939377777216,0.8087978583604047
Lasso,-0.17513454598718156,-2.3570247853162556,1.2105337156669789,-2.6701989706009712,0.0,-1.4892786088959704,-2.8124138609670313,-2.699887802431869,-0.9812785802496645
ElasticNet,0.7115322574979723,-2.1398298096090698,2.571249737510169,-2.8038712107082238,1.4892786088959704,0.0,-2.4600087933395565,-2.2377615951510963,-0.250026036182187
RF,2.5719691948885552,1.6435837647498708,3.9827498361682703,1.5349889705177193,2.8124138609670313,2.4600087933395565,0.0,0.21292535068565194,2.2163877539745074
GB,2.48010021711687,1.4420456655568743,3.4881210538653913,1.3224939377777216,2.699887802431869,2.2377615951510963,-0.21292535068565194,0.0,2.030042257626752
NN_2_e10,0.6430702182498724,-0.5858918086371031,1.520968537722504,-0.8087978583604047,0.9812785802496645,0.250026036182187,-2.2163877539745074,-2.030042257626752,0.0
