model,AAPL,AMZN,JPM
HAR,1.3531300996941958e-08,8.884214846520692e-09,5.262923078185853e-09
LogHAR,1.096608032145814e-08,9.352357254300291e-09,3.323526694345153e-09
HARQ,1.313814486842316e-08,9.205243797269198e-09,6.595733961729036e-09
Lasso,1.3984231297475905e-08,9.327964521088309e-09,5.507370059855362e-09
ElasticNet,1.4048594954344822e-08,9.266580161561729e-09,5.556040929940684e-09
RF,2.6039941330892582e-08,1.748489815054118e-08,4.597259746777322e-09
GB,2.0603886661064022e-08,1.2853124843583206e-08,8.41858943214239e-09
NN_2_e10,1.1902776880653828e-08,9.923236830017188e-09,5.448921364323221e-09
