,HAR,LogHAR,HARQ,Lasso,ElasticNet,RF,GB,NN_2_e10
HAR,0.0,1.4309924002554244,1.0947893804124749,-1.4029528585391062,-3.82915806388545,-1.1592391614973567,-1.223532295423806,0.9688409832944056
LogHAR,-1.4309924002554244,0.0,-1.4922306050722933,-1.9758548092987647,-1.7224206573001761,-1.2261190262669392,-1.292125297505365,-3.9684985919099445
HARQ,-1.0947893804124749,1.4922306050722933,0.0,-4.90194215512044,-2.5483361739188997,-1.1703635145995783,-1.2303108680097488,0.9214144956438772
Lasso,1.4029528585391062,1.9758548092987647,4.90194215512044,0.0,-0.2349995577058512,-1.098140188373294,-1.100494122689553,1.4822169897293322
ElasticNet,3.82915806388545,1.7224206573001761,2.5483361739188997,0.2349995577058512,0.0,-1.1145923626880887,-1.1370241221348483,1.2846682899670772
RF,1.1592391614973567,1.2261190262669392,1.1703635145995783,1.098140188373294,1.1145923626880887,0.0,1.0228044605670967,1.1640738118019134
GB,1.223532295423806,1.292125297505365,1.2303108680097488,1.100494122689553,1.1370241221348483,-1.0228044605670967,0.0,1.1886741193523405
NN_2_e10,-0.9688409832944056,3.9684985919099445,-0.9214144956438772,-1.4822169897293322,-1.2846682899670772,-1.1640738118019134,-1.1886741193523405,0.0
