ticker,regime,model,n_days,vix_lo,vix_hi,mse,rel_mse_to_HAR
AAPL,low,HAR-X,149,11.86,13.86,5.931454414539692e-09,1.100653077549211
AAPL,low,LogHAR,149,11.86,13.86,5.1174440794370896e-09,0.9496036185343474
AAPL,low,ElasticNet,149,11.86,13.86,6.457203120472704e-09,1.1982121062056912
AAPL,low,RF,149,11.86,13.86,5.213303935262174e-09,0.9673915737226518
AAPL,low,NN_2_e10,149,11.86,13.86,5.84767416129328e-09,1.0851066386610564
AAPL,mid,HAR-X,148,13.88,16.78,7.142784601647867e-09,1.0160305786477657
AAPL,mid,LogHAR,148,13.88,16.78,6.3752797018767444e-09,0.9068562872587262
AAPL,mid,ElasticNet,148,13.88,16.78,7.276663451162536e-09,1.0350742727428817
AAPL,mid,RF,148,13.88,16.78,6.903416378768486e-09,0.9819814720926113
AAPL,mid,NN_2_e10,148,13.88,16.78,6.621102624444334e-09,0.9418235472547244
AAPL,high,HAR-X,148,16.78,38.57,6.730864597646401e-08,0.9801271072966299
AAPL,high,LogHAR,148,16.78,38.57,6.132494538502146e-08,0.8929943613241367
AAPL,high,ElasticNet,148,16.78,38.57,6.689856178216634e-08,0.9741555916128113
AAPL,high,RF,148,16.78,38.57,6.774210717600138e-08,0.9864390314998958
AAPL,high,NN_2_e10,148,16.78,38.57,6.623655213848306e-08,0.9645156176146321
JPM,low,HAR-X,148,11.86,13.86,2.9580682339747456e-09,0.7339698335001157
JPM,low,LogHAR,148,11.86,13.86,2.304215644656358e-09,0.5717328470088386
JPM,low,ElasticNet,148,11.86,13.86,3.337021479529804e-09,0.8279974990386616
JPM,low,RF,148,11.86,13.86,2.813798880153352e-09,0.6981730413952986
JPM,low,NN_2_e10,148,11.86,13.86,4.152829256165027e-09,1.0304195700064018
JPM,mid,HAR-X,148,13.88,16.78,4.562778585600461e-09,0.7418339322884058
JPM,mid,LogHAR,148,13.88,16.78,3.554820282470454e-09,0.5779562297951387
JPM,mid,ElasticNet,148,13.88,16.78,4.775164254311918e-09,0.7763644037601414
JPM,mid,RF,148,13.88,16.78,4.883623624204824e-09,0.793998141481953
JPM,mid,NN_2_e10,148,13.88,16.78,5.215241425264674e-09,0.84791382745309
JPM,high,HAR-X,148,16.78,38.57,1.6560068668513953e-08,1.1149003342319277
JPM,high,LogHAR,148,16.78,38.57,1.0858346988151192e-08,0.7310340873956267
JPM,high,ElasticNet,148,16.78,38.57,1.6064220988769026e-08,1.0815175774969368
JPM,high,RF,148,16.78,38.57,1.2304710420442222e-08,0.8284099562015387
JPM,high,NN_2_e10,148,16.78,38.57,1.1737070338121499e-08,0.7901938032271196
AMZN,low,HAR-X,149,11.86,13.86,7.223094352288345e-09,1.0771877947087671
AMZN,low,LogHAR,149,11.86,13.86,5.858892900807248e-09,0.8737429715639787
AMZN,low,ElasticNet,149,11.86,13.86,6.121174175060921e-09,0.9128572588247027
AMZN,low,RF,149,11.86,13.86,6.294915015010243e-09,0.9387674163151095
AMZN,low,NN_2_e10,149,11.86,13.86,5.497174386419875e-09,0.8197995022121178
AMZN,mid,HAR-X,148,13.88,16.78,1.1763875488286273e-08,0.980134642232095
AMZN,mid,LogHAR,148,13.88,16.78,1.0034190304063479e-08,0.8360218988678474
AMZN,mid,ElasticNet,148,13.88,16.78,1.092089601540683e-08,0.9098998471696682
AMZN,mid,RF,148,13.88,16.78,1.4126808887330366e-08,1.1770079331808534
AMZN,mid,NN_2_e10,148,13.88,16.78,1.0601800739021248e-08,0.8833136821877661
AMZN,high,HAR-X,148,16.78,38.57,2.6193550436574534e-08,1.0954922445508737
AMZN,high,LogHAR,148,16.78,38.57,2.331035135660804e-08,0.9749082771636497
AMZN,high,ElasticNet,148,16.78,38.57,2.508775081951539e-08,1.04924441314486
AMZN,high,RF,148,16.78,38.57,2.5813395994610218e-08,1.0795930542554655
AMZN,high,NN_2_e10,148,16.78,38.57,2.5074583173889502e-08,1.0486937030111922
