ticker,info_set,model,n_test,test_mse,rel_mse_to_HAR
AAPL,M_HAR,HAR,445,2.6982201662562814e-08,1.0
AAPL,M_HAR,LogHAR,445,2.4827453731281577e-08,0.920141878775189
AAPL,M_HAR,HARQ,445,2.586652577646168e-08,0.9586514139930579
AAPL,M_HAR,Lasso,445,2.7140898675160246e-08,1.0058815442335687
AAPL,M_HAR,ElasticNet,445,2.7153555028679847e-08,1.0063506072728965
AAPL,M_HAR,RF,445,3.3611156096798607e-08,1.2456787817812998
AAPL,M_HAR,GB,445,3.287336642551379e-08,1.2183352135835834
AAPL,M_HAR,NN_2_e10,445,2.5859105085402726e-08,0.9583763922897975
AAPL,M_ALL,HAR,445,2.6982201662562814e-08,1.0
AAPL,M_ALL,HAR-X,445,2.6747412209723525e-08,0.9912983582371985
AAPL,M_ALL,LogHAR,445,2.4229511192577654e-08,0.8979812505884405
AAPL,M_ALL,HARQ,445,2.675741478013918e-08,0.9916690681792836
AAPL,M_ALL,Lasso,445,2.6300891961933063e-08,0.9747496624200592
AAPL,M_ALL,ElasticNet,445,2.6831587864006977e-08,0.9944180315439266
AAPL,M_ALL,RF,445,2.6571505106651694e-08,0.9847789827884597
AAPL,M_ALL,GB,445,2.969491782539983e-08,1.1005372429115319
AAPL,M_ALL,NN_2_e10,445,2.618929517965383e-08,0.9706137218591349
JPM,M_HAR,HAR,444,8.34477081322706e-09,1.0
JPM,M_HAR,LogHAR,444,7.415636673532661e-09,0.888656721617608
JPM,M_HAR,HARQ,444,9.034177013640008e-09,1.0826153546745934
JPM,M_HAR,Lasso,444,8.200565470647035e-09,0.9827190769156356
JPM,M_HAR,ElasticNet,444,8.436110542269805e-09,1.0109457444772436
JPM,M_HAR,RF,444,9.437485778954278e-09,1.1309460727184006
JPM,M_HAR,GB,444,8.876697549622654e-09,1.0637437202652051
JPM,M_HAR,NN_2_e10,444,8.52952272561898e-09,1.022139842606471
JPM,M_ALL,HAR,444,8.34477081322706e-09,1.0
JPM,M_ALL,HAR-X,444,8.026971829363055e-09,0.9619163915969661
JPM,M_ALL,LogHAR,444,5.572460971759335e-09,0.6677787918305179
JPM,M_ALL,HARQ,444,8.15857332005564e-09,0.9776869254603991
JPM,M_ALL,Lasso,444,7.418545160391234e-09,0.8890052616702555
JPM,M_ALL,ElasticNet,444,8.058802240870249e-09,0.9657308057036712
JPM,M_ALL,RF,444,6.667377641600134e-09,0.7989887069195312
JPM,M_ALL,GB,444,6.2322782022384675e-09,0.7468483367284167
JPM,M_ALL,NN_2_e10,444,7.0350470065170664e-09,0.843048558669342
AMZN,M_HAR,HAR,445,1.4189184337596627e-08,1.0
AMZN,M_HAR,LogHAR,445,1.4413034283971141e-08,1.015776096852966
AMZN,M_HAR,HARQ,445,1.4176836903614225e-08,0.9991297995932236
AMZN,M_HAR,Lasso,445,1.4341306376243137e-08,1.010720985437016
AMZN,M_HAR,ElasticNet,445,1.4289950079989308e-08,1.0071015880825287
AMZN,M_HAR,RF,445,1.8461258045900552e-08,1.3010795833404143
AMZN,M_HAR,GB,445,1.677680654404918e-08,1.182365817857212
AMZN,M_HAR,NN_2_e10,445,1.433110387864865e-08,1.0100019520273609
AMZN,M_ALL,HAR,445,1.4189184337596627e-08,1.0
AMZN,M_ALL,HAR-X,445,1.504256201206823e-08,1.060142828098331
AMZN,M_ALL,LogHAR,445,1.3051611703370037e-08,0.9198281869372575
AMZN,M_ALL,HARQ,445,1.502439666611587e-08,1.05886260327919
AMZN,M_ALL,Lasso,445,1.3904349261594564e-08,0.9799259020656075
AMZN,M_ALL,ElasticNet,445,1.4025471199219252e-08,0.9884621177312081
AMZN,M_ALL,RF,445,1.539121946014322e-08,1.0847148852215274
AMZN,M_ALL,GB,445,1.5887611167283043e-08,1.1196986936864404
AMZN,M_ALL,NN_2_e10,445,1.370603101727495e-08,0.9659491829250902
