,HAR,LogHAR,HARQ,Lasso,ElasticNet,RF,GB,NN_2_e10
HAR,1.0,0.0016852610666970858,0.1194542331437991,0.9997130930604486,0.9994660973587175,0.8422808167423537,0.8180433818913901,0.10683619231811958
LogHAR,0.9983147389333029,1.0,0.9999945701294336,0.9999999790309709,0.9999997982981407,0.8868521588195302,0.8739229043592178,0.9999996556584864
HARQ,0.8805457668562009,5.429870566397987e-06,1.0,0.9999993949835216,0.9999942096569286,0.8459570194005588,0.8238707594014882,0.14852658129867113
Lasso,0.0002869069395513568,2.0969029068673706e-08,6.050164783610867e-07,1.0,5.5144678974827777e-05,0.7802585681817095,0.7427629960891123,2.8819227363641176e-05
ElasticNet,0.0005339026412825021,2.017018593258868e-07,5.79034307135462e-06,0.9999448553210252,1.0,0.7931069022181496,0.7582815511080279,0.0002612863008859545
RF,0.15771918325764633,0.11314784118046983,0.15404298059944121,0.21974143181829053,0.2068930977818504,1.0,0.06905014022750133,0.147152562524132
GB,0.18195661810860986,0.12607709564078218,0.17612924059851176,0.25723700391088766,0.24171844889197214,0.9309498597724987,1.0,0.16722417101332332
NN_2_e10,0.8931638076818804,3.443415136361594e-07,0.8514734187013289,0.9999711807726364,0.999738713699114,0.852847437475868,0.8327758289866767,1.0
