,HAR,LogHAR,HARQ,Lasso,ElasticNet,RF,GB,NN_2_e10
HAR,1.0,0.9974175958799864,0.998071746858205,0.9998151454365607,0.9999915963223142,0.9999712088985157,0.9999315998557365,0.9714379268141554
LogHAR,0.0025824041200136483,1.0,0.01254758567680092,0.3825244167713243,0.22811080108125903,0.9999760410846598,0.9999279175379021,0.27300365461034626
HARQ,0.001928253141795011,0.9874524143231991,1.0,0.9574646873027192,0.9605447100978889,0.9999682241911307,0.9999085685282746,0.8668568405212561
Lasso,0.00018485456343930728,0.6174755832286757,0.042535312697280836,1.0,0.08260313901681693,0.9996614556905732,0.9989039340585751,0.43211603525990916
ElasticNet,8.403677685842048e-06,0.771889198918741,0.03945528990211111,0.9173968609831831,1.0,0.9998457941229045,0.9995813239714466,0.5473114075082911
RF,2.8791101484348935e-05,2.395891534023864e-05,3.177580886926101e-05,0.0003385443094268137,0.00015420587709547018,1.0,0.10055123890707207,2.150851902471551e-05
GB,6.840014426345853e-05,7.208246209788882e-05,9.143147172541166e-05,0.001096065941424862,0.0004186760285533886,0.8994487610929279,1.0,0.00032515434343660665
NN_2_e10,0.028562073185844583,0.7269963453896537,0.1331431594787439,0.5678839647400908,0.4526885924917089,0.9999784914809753,0.9996748456565634,1.0
