model,AAPL,AMZN,JPM
HAR,2.6982201662562814e-08,1.4189184337596627e-08,8.34477081322706e-09
HAR-X,2.6747412209723525e-08,1.504256201206823e-08,8.026971829363055e-09
LogHAR,2.4229511192577654e-08,1.3051611703370037e-08,5.572460971759335e-09
HARQ,2.675741478013918e-08,1.502439666611587e-08,8.15857332005564e-09
Lasso,2.6300891961933063e-08,1.3904349261594564e-08,7.418545160391234e-09
ElasticNet,2.6831587864006977e-08,1.4025471199219252e-08,8.058802240870249e-09
RF,2.6571505106651694e-08,1.539121946014322e-08,6.667377641600134e-09
GB,2.969491782539983e-08,1.5887611167283043e-08,6.2322782022384675e-09
NN_2_e10,2.618929517965383e-08,1.370603101727495e-08,7.0350470065170664e-09
