ticker,regime,model,n_days,vix_lo,vix_hi,mse,rel_mse_to_HAR
AAPL,low,HAR-X,147,11.86,13.84,4.140390503524399e-09,0.9700271263248587
AAPL,low,LogHAR,147,11.86,13.84,3.878736260535477e-09,0.9087257313957572
AAPL,low,ElasticNet,147,11.86,13.84,4.826221515027501e-09,1.1307063387485485
AAPL,low,RF,147,11.86,13.84,4.406195769872214e-09,1.0323010394878578
AAPL,low,NN_2_e10,147,11.86,13.84,4.207947695497194e-09,0.9858546934918118
AAPL,mid,HAR-X,147,13.85,16.77,1.0938139065345604e-08,0.922345862306478
AAPL,mid,LogHAR,147,13.85,16.77,1.004297141569235e-08,0.8468618907830087
AAPL,mid,ElasticNet,147,13.85,16.77,1.1187013333906114e-08,0.9433318957139883
AAPL,mid,RF,147,13.85,16.77,1.13986498534289e-08,0.9611778992186639
AAPL,mid,NN_2_e10,147,13.85,16.77,1.1227919882167992e-08,0.9467812928468261
AAPL,high,HAR-X,147,16.78,38.57,2.6291162861162703e-08,1.0745764399263733
AAPL,high,LogHAR,147,16.78,38.57,1.8376827135059725e-08,0.7511004965514693
AAPL,high,ElasticNet,147,16.78,38.57,2.6392558530718388e-08,1.0787206992803804
AAPL,high,RF,147,16.78,38.57,2.454702265323689e-08,1.0032896739030281
AAPL,high,NN_2_e10,147,16.78,38.57,2.0737479969770334e-08,0.8475854611922932
JPM,low,HAR-X,147,11.86,13.85,2.712910450541099e-09,0.8447191583551641
JPM,low,LogHAR,147,11.86,13.85,1.4288857449107127e-09,0.4449122762551662
JPM,low,ElasticNet,147,11.86,13.85,3.54542701418505e-09,1.1039399117780377
JPM,low,RF,147,11.86,13.85,1.5995082211167188e-09,0.498039011222944
JPM,low,NN_2_e10,147,11.86,13.85,2.9925962008161103e-09,0.9318049342712538
JPM,mid,HAR-X,146,13.86,16.77,2.6802285814669277e-09,0.8715988317543728
JPM,mid,LogHAR,146,13.86,16.77,1.7251958403277032e-09,0.5610262831217718
JPM,mid,ElasticNet,146,13.86,16.77,2.905097673482476e-09,0.944725295390227
JPM,mid,RF,146,13.86,16.77,2.087579329232833e-09,0.6788718384452338
JPM,mid,NN_2_e10,146,13.86,16.77,3.2440323098993447e-09,1.054945384521711
JPM,high,HAR-X,147,16.78,38.57,1.4893930028127504e-08,1.5698969672203342
JPM,high,LogHAR,147,16.78,38.57,5.3098873299304706e-09,0.5596894842259131
JPM,high,ElasticNet,147,16.78,38.57,1.4856283856026136e-08,1.5659288667057096
JPM,high,RF,147,16.78,38.57,6.242167998799656e-09,0.6579566703810695
JPM,high,NN_2_e10,147,16.78,38.57,6.3946748491771035e-09,0.6740316782155182
AMZN,low,HAR-X,147,11.86,13.84,4.224833699414873e-09,1.0269509479531436
AMZN,low,LogHAR,147,11.86,13.84,3.112665125207513e-09,0.7566107043302697
AMZN,low,ElasticNet,147,11.86,13.84,3.7419726489155746e-09,0.9095795556522863
AMZN,low,RF,147,11.86,13.84,4.309542128216067e-09,1.0475414391881135
AMZN,low,NN_2_e10,147,11.86,13.84,3.112852711219852e-09,0.7566563017778617
AMZN,mid,HAR-X,147,13.85,16.77,1.06905109220633e-08,0.9671602477064335
AMZN,mid,LogHAR,147,13.85,16.77,8.43332279468794e-09,0.7629546073673058
AMZN,mid,ElasticNet,147,13.85,16.77,1.0118440727105764e-08,0.915405607026097
AMZN,mid,RF,147,13.85,16.77,1.155676473518719e-08,1.0455293975614195
AMZN,mid,NN_2_e10,147,13.85,16.77,9.889338657004203e-09,0.8946789629503509
AMZN,high,HAR-X,147,16.78,38.57,1.5269219799837988e-08,1.3294714551054183
AMZN,high,LogHAR,147,16.78,38.57,1.3031326198671967e-08,1.1346209191045635
AMZN,high,ElasticNet,147,16.78,38.57,1.4365809139782504e-08,1.2508126434224234
AMZN,high,RF,147,16.78,38.57,1.9578139910169347e-08,1.7046436226496966
AMZN,high,NN_2_e10,147,16.78,38.57,1.5783184519128903e-08,1.374221706407439
