,HAR,HAR-X,LogHAR,HARQ,Lasso,ElasticNet,RF,GB,NN_2_e10
HAR,1.0,0.9229909707053904,0.1244075209784683,0.949868187777615,0.4305272382354626,0.7614342398600065,0.9947803297687203,0.9932461503104134,0.7397432411521094
HAR-X,0.07700902929460962,1.0,6.45085219639352e-05,0.9454378944459352,0.009429614600124814,0.016458973447911696,0.9495117356732171,0.9249995606580687,0.2791243117565716
LogHAR,0.8755924790215317,0.9999354914780361,1.0,0.9999913434466408,0.8866379900487862,0.9947696372243391,0.99996015049212,0.9997323082965948,0.9355069946229757
HARQ,0.05013181222238505,0.05456210555406482,8.656553359243091e-06,1.0,0.003930679491552569,0.0026363530565431947,0.9372473695215868,0.9066546421677427,0.20953426669603048
Lasso,0.5694727617645374,0.9905703853998752,0.11336200995121382,0.9960693205084474,1.0,0.9314347884087169,0.9974314455361876,0.9963981699589389,0.8365026880994489
ElasticNet,0.23856576013999353,0.9835410265520883,0.005230362775660913,0.9973636469434568,0.06856521159128315,1.0,0.9928615855438488,0.9871318319692391,0.5986580467866358
RF,0.005219670231279672,0.05048826432678288,3.984950788005204e-05,0.06275263047841317,0.0025685544638124336,0.007138414456151154,1.0,0.4157419013708784,0.013587863682900214
GB,0.0067538496895865885,0.07500043934193135,0.0002676917034052373,0.09334535783225728,0.0036018300410610715,0.012868168030760851,0.5842580986291216,1.0,0.021476675238951803
NN_2_e10,0.26025675884789057,0.7208756882434284,0.06449300537702429,0.7904657333039695,0.16349731190055106,0.4013419532133642,0.9864121363170998,0.9785233247610482,1.0
