feature,vi_norm
RVD,0.26686448428608545
RVW,0.27658443630169116
RVM,0.06319674640190585
M1W,0.06862630875229336
d_log_dvol,0.033714942304916944
EA,0.0
VIX,0.1952146451193731
d_US3M,0.006554757166343074
HSI,0.011175616097523069
ADS,0.05837942820910295
EPU,0.019688635360765053
